moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC.	moe2D_PEOE_PC..1	moe2D_PEOE_RPC.	moe2D_PEOE_RPC..1	moe2D_PEOE_VSA.0	moe2D_PEOE_VSA.1	moe2D_PEOE_VSA.2	moe2D_PEOE_VSA.3	moe2D_PEOE_VSA.4	moe2D_PEOE_VSA.5	moe2D_PEOE_VSA.6	moe2D_PEOE_VSA.0.1	moe2D_PEOE_VSA.1.1	moe2D_PEOE_VSA.2.1	moe2D_PEOE_VSA.3.1	moe2D_PEOE_VSA.4.1	moe2D_PEOE_VSA.5.1	moe2D_PEOE_VSA.6.1	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC.	moe2D_Q_PC..1	moe2D_Q_RPC.	moe2D_Q_RPC..1	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP.o.w.	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb	Class
12.37	2.109	0.03	1.874	2.281	-2.87	-0.5065	0.5508	2.885	-2.933	-0.4325	0.5703	2.853	-2.611	-0.3479	0.6889	3.138	0	-0.8561	-0.4257	0.02582	3.129	-0.9598	-0.3538	0.08175	3.155	-0.5207	-0.1981	0.1457	3.378	18.99	6.768	2.735	15.66	5.536	2.224	3.211	2.06	-2.06	0.1282	0.1625	113.2	25.59	26.73	0	0	29.42	0	70.51	36.76	0	0	0	29.64	5.008	0.8098	0.4214	0.1029	0.1902	0.5786	0.08734	272.7	141.9	34.65	64.06	194.9	29.42	4.138	-4.138	0.1592	0.1957	0.5904	0.2615	0.1756	0.4096	0.7385	0.234	198.8	88.08	59.15	138	248.7	78.8	9.677	58.72	25.12	4.411	33.78	0	108.3	33.93	99.55	1.989	22	18.62	75.64	18.44	10.78	51.77	0	70.57	18.87	77.14	65.07	0.4197	5.954	3.108	9.262	369.4	74.3	1.486	4	6	0	50	0	27	19	0	21	0	0	23	0	1	5	0	57.41	2	0.06452	6	54	3	31	4	0.129	45	1.543	34.79	18.92	14.22	15.73	13.24	12.91	7.99	9.488	6.77	5.711	4.503	2.606	0.8305	1.377	0.6661	10.83	5.095	6.671	3.775	0.06804	0.06804	10.18	4.213	5.62	2.867	0.05893	0.05893	5.904	2.402	3.402	1.783	5	5	0.76	10	3.889	0	0	0	0	3.513	0	23.27	0	0	4.188	0	-0.6896	0	0	4.991	0	0	0	0	0	2.809	0	17.49	0	-0.05881	2.421	-0.2449	6	0	1	0	1.767	-2.981	9.798	22	1	5	2	1	0.4	0.6667	6	0	5	336.8	486.1	29.64	0	0	255	34.42	29.64	1548	57	160	Crosses
10.82	2.278	0.03	1.186	2.109	-2.399	-0.5996	0.6203	2.425	-2.531	-0.4627	0.7845	2.432	-2.078	-0.4215	0.8635	2.745	0	-0.8264	-0.4074	0.06523	2.51	-1	-0.2871	0.1537	2.597	-0.4683	-0.1932	0.226	2.83	14.92	6.406	3.122	11.31	4.779	2.303	2.702	1.339	-1.339	0.1859	0.2338	44.97	56.05	13.19	0	12.95	0	0	36.76	90.86	0	0	0	19.25	0	0.8825	0.536	0.07024	0.1175	0.464	0.04725	241.8	146.9	19.25	32.2	127.2	12.95	3.12	-3.12	0.1824	0.2231	0.7251	0.536	0.07024	0.2749	0.464	0.2046	198.7	146.9	19.25	75.33	127.2	56.08	8.181	23.86	16.79	3.124	9.872	2.757	141.1	26.46	72.05	3.154	3.124	8.016	23.86	18.44	6.371	49.68	3.501	141.1	0	41.91	32.67	0.4999	5.459	2.839	8.391	284.7	52.36	1.587	2	12	0	33	0	20	15	0	16	1	0	13	0	2	1	0	42.01	1	0.04545	12	35	2	22	1	0.04545	21	1.805	18.89	14.11	10.83	11.76	9.326	9.665	6.358	6.708	4.502	4.592	2.693	1.292	0.3027	0.6413	0.1555	7.551	3.448	3.604	1.699	0	0	6.095	2.668	2.478	1.102	0	0	3.312	0.5853	1.296	0.2517	0	0	0.7651	8	15.35	0	0	0	0.6344	2.704	0	12.02	0	0	0	4.474	0.7781	0	0	1.762	6.108	0	0	0	0	0.1459	0	0	0	0	1.63	0	3	0	1	0	3.109	-4.532	8.055	18	1	3	1	0	0.5	1	4	0	3	274	372.2	19.25	0	0	225.9	19.65	19.25	726	36	106	Crosses
6.451	1.13	1.042	1.151	1.119	-2.481	-0.7565	0.8001	2.417	-2.666	-0.6884	0.8201	2.467	-2.208	-0.594	0.9487	2.691	0	-0.8392	-0.4562	0.1785	2.189	-1.363	-0.3152	0.1655	2.321	-0.5085	-0.2521	0.2813	2.462	9.091	4.133	2.5	7.18	3.178	1.877	2.075	1.217	-1.217	0.1786	0.2935	17.06	12.8	34.16	0	20.65	0	0	48.61	12.25	0	0	0	0	22.19	0.7446	0.4952	0.1323	0.2554	0.5048	0.1231	124.9	83.05	22.19	42.83	84.66	20.65	2.648	-2.648	0.1699	0.3738	0.5632	0.3647	0.1323	0.4368	0.6353	0.3046	94.45	61.16	22.19	73.26	106.6	51.08	4.253	0	50.77	0	13.67	32.9	71.8	18.44	0	0.599	83.67	0	0	18.44	3.186	18.87	0	52.93	0	10.49	66.48	0.684	4.459	2.512	6.584	153.2	34.05	1.548	3	6	0	22	3	11	8	0	8	0	0	11	0	1	2	0	24.12	2	0.1818	6	22	0	11	2	0.1818	16	2.31	11.37	8.268	5.268	6.118	4.646	5.236	3.375	3.447	2.592	2.439	1.591	0.6755	0.2041	0.247	0.1179	3.404	1.786	1.473	1.01	0	0	2.329	1.118	0.8912	0.5348	0	0	1.514	0.4065	0.4121	0.2103	0	0	0.7314	7	4.713	0	0	0	0	0.7542	0	0	0	0	0	0	0	0	0	0	0	0	0	5.305	17.97	1.262	0	0	0	0	0	0	3	3	1	0	0.669	-0.3874	4.275	6	1	1	2	0	0.4286	0.75	4	0	1	167.7	209.4	0	0	0	102.7	0	44.88	160	13	50	DoesNot
7.076	1.258	1.053	1.667	1.248	-2.541	-0.6793	0.7141	2.489	-2.672	-0.6778	0.6529	2.524	-2.273	-0.5417	0.8296	2.746	0	-0.8467	-0.4355	0.1505	2.291	-1.152	-0.3408	0.1091	2.4	-0.5123	-0.2478	0.2192	2.55	11.08	5.024	3	9.103	4.055	2.384	2.839	1.554	-1.554	0.1399	0.2483	34.52	21.97	25.54	0	30.97	0	0	49.96	12.25	0	0	0	0	23.44	0.7261	0.4312	0.118	0.2739	0.5688	0.1559	144.2	85.65	23.44	54.41	113	30.97	3.239	-3.239	0.139	0.2779	0.4746	0.3142	0.118	0.5254	0.6858	0.4074	94.28	62.41	23.44	104.4	136.2	80.93	4.877	0	76.16	18.01	20.14	0	52.93	18.44	32.9	0.4461	94.17	0	0	18.44	3.186	32.9	0	52.93	6.469	10.49	72.72	0.6194	4.7	2.71	7.081	183.2	40.82	1.57	4	6	0	26	4	13	9	0	9	0	0	13	0	1	3	0	28.01	3	0.2308	6	26	0	13	3	0.2308	20	2.379	14.87	9.845	6.138	7.358	5.517	6.147	3.208	3.994	2.435	2.28	1.47	0.8738	0.1667	0.3166	0.09623	4.187	1.643	1.782	0.917	0	0	2.797	1.031	1.059	0.4861	0	0	2.106	0.3319	0.5676	0.1717	1	1	0.7508	8	4.262	0	0	0	0	0.1784	0	0	0	0	0	0	0	0	0	1.726	0	0	0	0	27.62	0.407	2.806	0	0	-0.6699	0	0	4	4	1	0	0.533	-0.1989	4.894	6	1	1	3	0	0.5	1	4	0	1	198.6	244	0	0	0	129.2	0	46.38	256	17	60	DoesNot
8.336	1.559	0.724	1.273	0.7	-2.538	-0.6493	0.6974	2.565	-2.616	-0.5381	0.8059	2.552	-2.305	-0.4999	0.8543	2.796	0	-0.7935	-0.3899	0.0793	2.394	-1.371	-0.2639	0.1645	2.441	-0.5105	-0.2161	0.1931	2.644	15.06	8.163	6.479	10.78	5.711	4.449	3.622	2.105	-2.105	0.1701	0.1642	4.265	68.29	0	34.48	0	0	38.4	2.209	61.27	0	0	27.13	5.008	13.3	0.6704	0.4282	0.1787	0.3296	0.5718	0.151	170.5	108.9	45.44	83.84	145.4	38.4	4.494	-4.494	0.1736	0.178	0.4173	0.4282	0.1787	0.5827	0.5718	0.4041	106.1	108.9	45.44	148.2	145.4	102.8	6.025	69.72	0	0	7.596	65.79	88.22	56.49	0	0.9608	65.79	14.63	22	41.85	3.186	0	4.411	88.22	0	47.72	104.6	0.5226	5.087	2.955	7.887	238.2	52.22	1.685	2	6	0	31	2	17	9	0	11	0	0	14	0	2	4	0	34.1	5	0.2941	6	31	2	17	7	0.4118	23	2.393	19.73	12.67	7.259	9.166	6.378	8.092	3.966	4.987	3.016	3.158	2.108	1.15	0.3333	0.3368	0.2406	4.546	2.316	2.125	1.271	0	0	3.316	1.606	1.331	0.7252	0	0	1.52	0.7071	0.5998	0.4139	0	0	0.7836	8	9.178	0	0	0	0	0.8704	0	21.08	0	0	0	0	-1.741	0	0	0	0	0	0	9.762	0	0.0687	0	9.395	0	-0.2813	0	0	6	2	1	0	0.389	-2.005	6.199	6	1	1	5	0	0.5	1	4	0	1	254.4	304	27.13	0	35.48	127.6	43.41	62.62	564	19	76	Crosses
15.01	2.925	0.286	2.165	2.98	-2.799	-0.613	0.6447	2.694	-2.913	-0.4744	0.6563	2.63	-2.515	-0.4133	0.8124	2.97	0	-0.8583	-0.3856	0.03257	2.828	-0.9658	-0.2998	0.2224	2.906	-0.5227	-0.178	0.1871	3.1	23.17	10.29	5.689	20.36	9.003	4.959	6.11	2.179	-2.179	0.1915	0.1807	182.4	55.55	0	0	10.32	0	9.046	69.98	44.27	0	35.73	0	0	7.768	0.9346	0.3801	0.01872	0.06539	0.6199	0.04667	387.9	157.7	7.768	27.14	257.3	19.37	5.286	-5.286	0.2201	0.1532	0.5424	0.3644	0.1524	0.4576	0.6356	0.3052	225.1	151.2	63.25	189.9	263.8	126.7	11.37	0	76.51	13.99	3.186	5.513	142.4	150	32.22	4.62	28.51	6.249	0	150	3.186	3.101	7.76	123.5	18.87	82.61	29.95	0.3782	6.044	3.689	9.514	437.5	95.38	1.703	3	12	0	56	1	30	26	0	22	0	3	26	0	3	1	1	64.73	6	0.1818	12	59	0	33	7	0.2121	47	1.346	40.25	21.14	14.7	17.55	13.41	14.45	7.905	11.08	6.315	4.091	2.582	2.66	0.1443	1.095	0.08333	10.76	2.427	6.82	1.211	0.2887	0	8.958	1.554	5.153	0.6506	0.0135	0	4.921	0.1854	2.406	0.08978	0	0	0.7892	15	11.95	0	0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	39.93	0	0	9.067	7.163	0	0	1.527	0	6.688	-4.351	4	1	1	0	3.652	-4.741	11.47	22	1	4	8	1	0.4667	0.875	8	0	4	415	554.4	0	0	0	379.1	0	13.57	2618	49	160	Crosses
5.658	0.683	1.158	1.711	1.373	-2.537	-0.5361	0.4428	2.579	-2.741	-0.5158	0.381	2.535	-2.306	-0.3259	0.5995	2.806	0	-0.8234	-0.4467	0.06153	2.16	-1.371	-0.4116	0.0542	2.083	-0.5129	-0.2349	0.1963	2.374	10	4.76	5.531	7.718	3.555	4.02	2.744	1.576	-1.576	0.1755	0.2346	25.76	7.411	17.24	17.24	23.27	14.71	0	8.701	0	0	0	0	27.13	21.07	0.4697	0.3501	0.2966	0.5303	0.6499	0.2337	76.35	56.9	48.2	86.19	105.6	37.98	3.58	-3.58	0.1841	0.2765	0.2383	0.2966	0.2966	0.7617	0.7034	0.4651	38.73	48.2	48.2	123.8	114.3	75.6	3.404	47.72	0	25.39	3.982	65.79	37.74	13	0	-1.336	65.79	13	51.71	25.39	0	0	0	0	37.74	0	106.4	0.6801	4.17	2.511	6.29	146.1	34.85	1.743	4	0	0	20	4	10	3	0	5	0	0	10	0	2	3	0	20.07	4	0.4444	0	19	2	9	4	0.4444	17	3.327	11.53	8.146	3.146	5.41	2.992	4.537	1.65	2.804	1.55	0.8131	0.7428	0.9773	0	0.2539	0	2.337	0.3333	1.019	0.2887	0	0	0.9296	0.09623	0.4212	0.07217	0	0	1.496	0	0.3108	0	1	1	0.8291	6	0	0	0	0	0	0	0	20.13	0	0	0	0	-1.641	0	0	0	0	0	0	9.811	8.218	0.1231	0	0	0	-0.9792	0	0	5	3	1	0	-4.098	0.36	3.452	0	1	0	4	0	0.5	1	3	0	0	162.5	176.3	13.57	0	17.74	38.32	27.66	76.19	136	9	40	DoesNot
12.88	1.912	0.375	1.621	2.275	-2.792	-0.6406	0.6951	2.74	-2.802	-0.5381	0.8059	2.788	-2.53	-0.4999	0.8543	2.994	0	-0.8574	-0.3899	0.08141	2.781	-0.9525	-0.2639	0.1852	2.847	-0.5227	-0.2161	0.1931	3.025	20.73	9.467	5.75	17.34	7.86	4.748	5.241	1.675	-1.675	0.1258	0.2292	101.5	34.12	9.021	8.459	10.32	0	0	115	54.09	0	0	11.91	13.57	7.768	0.8809	0.5532	0.09087	0.1191	0.4468	0.02822	322.3	202.4	33.24	43.57	163.5	10.32	3.77	-3.771	0.1123	0.2148	0.7822	0.4458	0.05832	0.2178	0.5542	0.1595	286.1	163.1	21.33	79.69	202.8	58.36	10.11	23.86	43.47	9.121	9.872	0	216.6	61.01	39.15	4.737	25.39	8.812	9.121	55.32	30.23	0	3.501	141.1	75.47	54.11	40.54	0.4121	5.807	3.802	9.048	375.9	76.84	1.568	3	12	0	49	1	26	22	0	21	1	1	23	0	1	2	0	57.74	6	0.2143	12	51	1	28	6	0.2143	38	1.327	29.7	18.57	13.99	15.38	12.57	12.46	9.003	9.336	7.203	6.38	4.461	2.131	0.4553	1.044	0.2917	9.386	4.845	5.361	2.954	0.1443	0	6.81	3.41	3.565	1.774	0.0559	0	4.45	1.17	1.975	0.6903	0	0	0.757	17	13.09	0	0	0	0.3367	1.468	0	12.12	0	0	0	0	0.04137	0	0	0	5.918	12.91	0	0	10.88	4.956	0	0	0	0	2.28	-0.8006	3	1	1	0	4.598	-4.818	10.37	18	1	3	8	1	0.4706	0.8889	9	0	3	365.8	496.5	13.57	0	0	310	8.459	27.13	2035	39	134	Crosses
12.38	1.454	0.028	1.249	1.038	-2.78	-0.5367	0.576	2.693	-2.805	-0.45	0.6846	2.769	-2.51	-0.3874	0.7224	2.957	0	-0.8523	-0.3812	0.03734	2.646	-0.9935	-0.28	0.1454	2.724	-0.5317	-0.1897	0.1549	2.886	22.29	14.06	9.677	19.56	12.27	8.411	9.231	2.102	-2.102	0.1737	0.163	119.8	79.18	0	8.619	0	0	19.2	77	86.76	0	0	13.57	2.641	2.504	0.9074	0.4458	0.04572	0.09262	0.5542	0.04691	371.4	182.5	18.71	37.91	226.8	19.2	3.319	-3.32	0.235	0.244	0.7166	0.1655	0.04572	0.2834	0.8345	0.2377	293.3	67.73	18.71	116	341.6	97.3	10.6	34.86	14.12	0	5.243	20.77	221.5	104.5	33.33	5.07	11	28.45	11	97.17	0	0	0	70.57	150.9	65.19	50.8	0.4018	5.755	3.878	9.067	362.5	82.45	1.374	3	6	0	60	1	26	20	0	21	0	0	34	0	2	3	0	64.24	11	0.4074	6	61	1	27	13	0.4815	54	1.579	44.6	18.45	14.75	16.17	14	12.79	8.357	10.17	7.534	4.731	3.982	0.8261	0	0.3309	0	7.734	2.762	4.719	2.157	0	0	6.027	1.54	3.18	1.084	0	0	1.725	0	0.6738	0	0	0	0.6737	18	7.532	0	0	0	0	1.375	0	12.05	0	0	0	0	-0.4157	0	0	2.212	0	0	0	0	0	13.92	2.805	11.17	0	0	2.354	0	5	1	1	1	5.011	-4.956	10.64	12	0	2	13	2	0.5	1	9	0	2	409.3	538.1	16.07	0	5.683	339.3	21.7	21.75	2150	31	118	Crosses
5.261	0.665	0.62	1.024	1.006	-2.454	-0.5351	0.6388	2.42	-2.666	-0.5	0.6739	2.362	-2.196	-0.3885	0.7984	2.674	0	-0.8482	-0.3676	0.09935	2.029	-1.363	-0.3111	0.1626	2.026	-0.5082	-0.1988	0.2088	2.282	6.125	3.111	1.8	4.821	2.353	1.314	1.418	0.9225	-0.9225	0.1802	0.38	42.51	32.2	21.5	8.619	0	0	0	13.19	0	0	0	5.683	0	6.788	0.9044	0.1967	0.09556	0.09556	0.8033	0	118	25.66	12.47	12.47	104.8	0	1.857	-1.857	0.1939	0.5331	0.4779	0.2228	0.2228	0.5221	0.7772	0.2992	62.37	29.08	29.08	68.13	101.4	39.05	3.135	0	16.79	16.79	2.757	32.9	52.87	18.44	0	-0.08913	32.9	16.79	16.79	18.44	2.757	18.87	0	34	0	0	54.7	0.8113	4	2.16	5.618	111.1	24.59	1.447	3	5	0	17	3	8	4	0	5	0	0	9	0	3	0	0	18.1	2	0.25	5	17	0	8	2	0.25	12	2.103	11.16	5.82	3.406	4.593	3.069	3.932	1.316	2.61	1.142	0.5774	0.4541	0.2041	0	0.09129	0	2.172	0.2041	0.9553	0.1443	0	0	1.13	0	0.4264	0	0	0	0.433	0	0.1629	0	0	0	0.7095	5	3.512	3.97	2.848	0	0	1.035	0	0	0	0	0	0	0	0	0	0	0	0	0	5.266	0	1.536	0	0	0	0	0	0	3	2	1	0	-1.054	0.1316	3.2	5	1	1	2	0	0.4	0.6667	3	0	1	130.5	156.7	0	0	0	63.11	24.79	29.11	67	5	34	DoesNot
12.76	1.666	0.743	1.704	2.128	-2.938	-0.5303	0.5171	2.981	-2.91	-0.492	0.4881	3.016	-2.692	-0.3721	0.6725	3.222	0	-0.8008	-0.3931	0.02486	3.358	-0.9458	-0.3614	-0.005487	3.401	-0.5392	-0.2337	0.1454	3.578	19.32	6.25	2.486	17.42	5.61	2.225	3.759	2.196	-2.196	0.09596	0.1782	106.8	21.97	14.95	16.92	30.97	0	0	64.46	39.7	0	0	0	27.13	23.3	0.7649	0.4466	0.1457	0.2351	0.5534	0.08946	264.8	154.6	50.44	81.41	191.6	30.97	3.592	-3.592	0.1377	0.1893	0.6523	0.1875	0.1521	0.3477	0.8125	0.1957	225.8	64.9	52.65	120.4	281.3	67.75	9.514	47.72	76.16	13.23	9.654	0	149.7	32.3	66.65	1.782	76.16	11.38	54.19	20.93	13.23	3.186	0	17.64	132.1	66.65	94.83	0.4223	5.858	3.165	9.133	362.5	74.16	1.324	5	0	0	56	3	26	19	0	21	0	0	30	0	0	5	0	60.97	2	0.06897	0	59	3	29	2	0.06897	56	1.678	34.71	18.91	13.91	15.7	13.54	12.17	9.231	9.957	8.751	8.765	8.177	3.17	1.917	2.27	1.795	11.54	8.178	8.653	7.482	0.322	0.2199	9.427	6.59	6.992	5.914	0.2437	0.2041	8.851	5.234	6.02	4.763	7	7	0.7347	12	0	0	0	0	0	0	0	24.26	0	0	1.806	0	0.853	0	0	4.115	0	0	0	0	31.73	3.884	0	0	0	-0.1467	0	-2.41	5	3	1	0	1.014	-2.935	9.621	20	1	4	2	0	0.5	1	6	1	4	346.2	493.3	27.13	0	0	224.6	16.92	67.83	1425	59	154	DoesNot
13.14	2.056	0.286	2.005	2.159	-2.787	-0.6148	0.6588	2.689	-2.893	-0.4976	0.7629	2.632	-2.503	-0.4631	0.8543	2.965	0	-0.851	-0.3818	0.0725	2.821	-0.9642	-0.2639	0.1556	2.864	-0.5197	-0.2039	0.1931	3.084	20.73	11.11	6.261	18.13	9.666	5.425	6.741	1.986	-1.986	0.1055	0.1977	113.1	116.2	0	0	10.32	0	0	28.93	115.4	0	0	0	0	10.27	0.9478	0.392	0.02605	0.05224	0.608	0.02619	373.7	154.6	10.27	20.6	239.7	10.32	4.674	-4.674	0.1192	0.1733	0.6587	0.392	0.02605	0.3413	0.608	0.3152	259.7	154.6	10.27	134.6	239.7	124.3	10.58	11	31.63	0	13.85	0	158.8	155	39.15	3.151	25.39	6.249	11	155	6.371	0	3.501	158.8	3.982	39.15	35.94	0.4121	5.807	3.606	9.091	374.9	78.96	1.49	4	12	0	53	1	26	22	0	21	1	0	27	0	2	2	0	60.95	8	0.2857	12	55	0	28	8	0.2857	43	1.52	35.81	18.19	14.33	15.81	12.93	12.78	8.116	9.609	6.309	4.794	2.888	1.104	0.3333	0.7332	0.1925	8.701	3.677	5.113	1.877	0	0	7.066	2.856	3.626	1.238	0	0	2.597	0.6639	1.51	0.3184	1	1	0.7199	15	18.89	0	0	0	0.7715	2.592	0	0	0	0	0	0	0	0	0	0	6.09	0	0	0	8.779	6.202	0	5.392	0	0.2512	4.974	0	4	1	1	0	3.205	-3.745	10.74	18	1	3	10	0	0.4667	0.875	8	0	3	394.3	520.8	2.504	0	0	355.2	0	16.07	1831	37	128	Crosses
11.24	2.137	1.306	2.236	1.546	-2.52	-0.5926	0.6236	2.755	-2.67	-0.5495	0.5804	2.641	-2.315	-0.3864	0.8598	2.966	0	-0.8007	-0.4638	0.1139	2.507	-1.17	-0.4331	0.1231	2.437	-0.5269	-0.2293	0.25	2.752	13.43	5.325	2.713	13.93	5.535	2.825	4.536	2.226	-2.226	0.1488	0.1762	33.98	48.49	14.3	8.619	20.65	12.95	17.44	46.99	0	0	0	13.57	13.7	18.04	0.6126	0.3711	0.1822	0.3874	0.6289	0.2052	152.4	92.3	45.31	96.35	156.4	51.04	4.15	-4.15	0.1663	0.1639	0.4406	0.4384	0.1822	0.5594	0.5616	0.3772	109.6	109	45.31	139.1	139.7	93.81	6.464	58.72	53.89	18.01	18.98	1.66	36.08	31.01	56.78	-0.6083	68.78	13.21	53.84	20.93	0	0	0	18.87	18.87	80.64	99.1	0.5423	5.17	2.889	7.882	354.1	54.41	1.943	5	0	0	28	3	17	7	0	9	0	0	11	1	2	5	0	34.73	2	0.1111	0	29	3	18	2	0.1111	26	1.988	22.09	12.58	5.585	10.83	5.224	8.024	2.3	6.059	2.097	0.9428	0.8514	1.412	0	0.8133	0	6.304	0.3027	3.387	0.3027	0	0	4.466	0.09623	1.938	0.09623	0	0	3.442	0	1.498	0	3	3	1.193	9	0	0	0	0	0	0	0	22.75	0	0	1.374	0	-0.6916	0	0	0	0	0	1.802	0	18.5	-0.111	2.152	5.322	0	-2.182	1.21	0	7	3	1	0	-0.564	-2.15	6.554	11	1	2	3	0	0.4444	0.8	5	0	2	248.7	296.9	29.64	0	5.683	125.1	43.34	62.45	505	26	88	DoesNot
