LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Activity
0	9.2	0	0	0	5	4	0	0	0	259.9	0	-1.6	125.1	415.8	2.2	0.00595	0	2.4	0.0039	259.9	1.6	0	3.56
0	8.7	0	0	0	7	1	0	1	1	258.6	0	-1	133.5	433.7	2.9	0.00331	0	2.6	0.0053	258.6	2.3	0	3.7
0	9.3	0	0	0	4	3	0	0	0	235.7	0	-1	103.5	364.1	1.8	0.0237	0	1.5	0.0425	235.7	1.5	0	3.06
0	10.1	0	0	0	9	0	1	1	1	345.8	0	0.8	167.6	526.9	3.3	0.00137	0	3.4	0.000945	345.8	2.6	0	4.23
0	11.5	0	0	0	6	0	0	1	0	302.1	0	1.2	118.4	410.4	3.1	0.00328	0	3.2	0.00296	302.1	2	0	2.96
0	8.9	1	1	2	7	1	0	1	0	308.5	43.5	-3.8	123.6	425.4	1.2	0.111	1	1.6	0.0466	265	2.1	0	2.06
0	11	1	0	1	7	1	0	1	0	294.5	42.9	-2.7	119.6	416.2	1.1	0.153	1	1.1	0.132	251.6	2.1	0	2.19
0	9.1	2	0	2	8	2	0	1	0	311.1	72.8	-3.4	129.8	446.1	1	0.139	2	0.9	0.158	238.3	2.3	0	2.74
0.28	28.1	4	0	4	20	4	6	1	1	594.4	30.8	-1.1	325.1	1006.6	3.6	4.78e-05	4	4.6	6.8e-06	563.6	5	0	5.33
0	33	4	0	4	18	4	11	0	0	588.4	44.4	-0.5	310.4	1005.5	2.8	0.000303	4	4.3	1.64e-05	544	6.2	0	4.85
0	9.8	0	0	0	3	2	0	0	0	210	0	-0.3	81.2	307.1	1.4	0.103	0	1.3	0.108	210	1.5	0	2.42
0	6.8	0	0	0	10	0	0	3	0	357.2	0	0.9	164.2	512.7	3.3	0.00111	0	3.2	0.00135	357.2	2.3	4	3.63
0.28	19.1	4	0	4	16	4	2	1	1	475.9	30.8	-2.5	247	777.6	2.6	0.000949	4	2.6	0.000829	445.1	3.8	0	4.12
0	24	4	0	4	14	4	7	0	0	481.3	44.4	-1.8	232.2	776.7	1.7	0.00686	4	2.4	0.002	436.9	4.7	0	4.05
0	17.1	0	1	1	5	1	2	0	0	285	8.7	-7.8	104.7	394.5	0.8	0.374	1	0.8	0.367	276.3	2.3	0	1.93
0	19.5	3	2	5	7	3	4	0	0	313.9	106.8	-13.1	114	426.8	-0.9	6.4	3	-1.5	19.2	207.1	2.6	0	0.15
0	13.5	1	0	1	5	1	2	0	0	292.3	7.6	0.1	103.4	392.9	0.8	0.374	1	1	0.229	284.7	2.3	0	1.46
1.55	17.3	4	0	4	11	4	4	0	0	407.8	48.4	-2.6	172.8	602.6	0.8	0.0907	4	0.9	0.0733	359.4	3.8	0	4.01
0	33	4	0	4	18	4	11	0	0	588.4	44.4	-0.5	310.4	1005.5	2.8	0.000303	4	4.3	1.64e-05	544	6.2	0	4.98
0	19.5	4	0	4	12	4	5	0	0	427.8	44.4	-2.2	193.1	662.2	1.1	0.0372	4	1.4	0.022	383.3	4.1	0	3.09
6.53	23.9	6	2	8	14	6	5	0	0	460.9	109.2	-9.1	203.5	689.7	-0.4	0.467	6	-0.1	0.232	351.7	3.7	2	2.5
0.31	20.2	4	0	4	20	4	4	1	1	578.8	26.6	-0.6	324.2	985.3	3.6	4.78e-05	4	4.5	9.08e-06	552.2	4.6	0	5.49
0	12.4	1	0	1	7	1	2	0	0	353.8	2.7	1.9	141.3	487.8	1.6	0.0497	1	1.9	0.0277	351.1	2.5	0	2.11
0	11.5	2	0	2	5	2	2	0	0	278.4	28.5	-4.2	93.3	355.7	-0.1	2.25	2	-0.2	2.56	249.8	2.1	0	1.04
0.26	14.6	4	0	4	14	4	0	1	1	397.7	35.2	-5.7	206.8	651.7	2	0.00468	4	1.7	0.00916	362.5	3.3	0	3.7
1.45	12.8	4	0	4	9	4	2	0	0	326.4	51.3	-6.3	132.7	475.5	0.1	0.611	4	-0.1	0.809	275.1	3	0	4.03
0	22.5	1	0	1	9	1	6	0	0	399.9	7.6	1.5	181.6	621.8	2.3	0.00805	1	3	0.00188	392.3	3.7	0	3.61
-0.07	35.1	0	1	1	13	1	10	0	0	497.7	8.7	-5.7	261.1	852.3	3.5	0.000301	1	4.7	2.47e-05	489	5	0	5.38
-0.05	27	1	0	1	11	1	8	0	0	447.8	7.6	1.8	220.6	736.1	2.9	0.00149	1	4	0.00017	440.2	4.4	0	4.71
0.39	19.2	4	0	4	24	4	0	3	3	560.2	26.6	-4	359	1027	4.6	3.33e-06	4	4.1	9.55e-06	533.6	4.3	0	6.6
0	13.4	0	1	1	13	1	0	2	2	376	10.6	-1.9	216.4	642.6	3.4	0.000462	1	3.3	0.000567	365.4	3.2	0	4.65
0.34	13.6	1	0	1	13	1	0	2	2	396.6	6.6	-1.9	214.7	641.2	3.4	0.000455	1	4	0.000126	390	3.1	0	4.63
0.02	13.3	0	0	0	10	0	1	1	0	388.9	0	0.9	186.2	585	3.3	0.00103	0	4.8	4.8e-05	388.9	2.8	1	5.29
0	6.9	1	1	2	3	1	0	0	0	219.9	54.1	-5.6	59.5	256.3	-0.2	4.05	1	-0.1	3.81	165.8	1.6	0	0.52
0.62	11.9	2	0	2	6	2	1	0	0	303.9	33.7	-1.7	104.3	394.7	0.6	0.451	2	0.9	0.261	270.3	2.4	0	2.58
0	12.1	2	0	2	7	2	2	0	0	300.6	27.1	-1.3	121.2	437.7	0.9	0.204	2	1.2	0.106	273.5	2.7	0	4.6
0	11.9	0	0	0	8	0	1	1	1	310.9	0	0.3	149.5	482.4	2.9	0.00324	0	3	0.00272	310.9	2.5	0	3.59
0	18.6	0	2	2	4	2	1	0	0	230.5	123.2	-124.2	69.7	285.1	-1.1	17.5	2	-1.6	53.2	107.4	1.9	0	2.55
0	11.3	2	2	4	4	2	1	0	0	228.8	95.6	-11.3	64.9	273.4	-1.1	17.5	2	-1.2	23.4	133.1	1.8	0	0.04
-0.02	20.9	2	0	2	10	2	5	0	0	405.1	21.3	0.4	182.3	622.3	2.1	0.0097	2	2.8	0.00214	383.8	3.7	0	4.21
0.01	15.6	2	1	3	12	2	2	1	1	389	63.9	-7.5	195.7	614.2	2.6	0.0023	2	2.7	0.00186	325.1	3.1	0	3.84
0	16.1	2	0	2	7	2	4	0	0	299.7	95.5	-11.6	116.2	421.3	0.1	1	2	-0.2	1.67	204.2	2.2	0	3.94
0	9.4	2	0	2	4	2	1	0	0	190.7	93.1	-12.3	57.7	247.2	-1.3	30.8	2	-1.7	61.3	97.6	1.4	0	2.43
0	17.2	0	0	0	12	6	0	1	0	395.5	0	-2.8	245.8	692.4	4.1	1.53e-05	0	4.3	1.1e-05	395.5	2.3	0	6.52
0	10.8	0	0	0	8	6	1	0	0	324.4	0	-1.9	184.3	548.4	3.3	0.000183	0	4	4.23e-05	324.4	1.9	0	5.23
-0.02	18.1	1	0	1	7	1	4	0	0	323.2	50.2	-5	134	473	1.4	0.0684	1	1.8	0.034	273	2.7	0	3.66
0	13.3	2	2	4	8	2	2	0	0	317.1	59.2	-4.4	140.7	475.5	0.7	0.215	2	0.6	0.276	257.9	2.5	1	1.13
0.03	12.7	2	0	2	9	2	3	0	0	355.1	25.5	-0.5	159.9	542.8	1.6	0.0302	2	2.1	0.0111	329.5	3.1	0	4.79
0	9.8	0	0	0	5	0	1	0	0	256.1	0	0.6	105.1	372.5	2	0.0411	0	2.6	0.0125	256.1	2.1	0	2.95
0	6.4	1	1	2	4	1	0	0	0	242.8	44.1	-3.6	78.9	311.4	0.3	1.15	1	0.3	1.33	198.7	1.8	0	0.78
109.5	10.5	1	1	2	11	1	1	1	0	416.2	35.5	-1.4	197.6	609	2.5	0.00332	1	3.4	0.00059	380.8	2.8	3	3.92
0	11	1	1	2	8	1	0	1	1	282.4	52	-5.8	134.7	442.7	1.9	0.0264	1	2.1	0.0178	230.5	2.4	0	3.29
0.01	11.7	0	0	0	8	2	0	1	1	278.1	0	-1.3	154.3	489.8	3.5	0.00057	0	3.3	0.000837	278.1	2.3	0	4.27
0.01	14.5	0	0	0	10	0	2	1	1	377.8	0	1.2	186.4	587.4	3.6	0.000598	0	4.1	0.00022	377.8	3	0	4.51
0	4.7	1	1	2	2	1	0	0	0	180.5	49.9	-6.5	39.9	193.8	-0.8	18.1	1	-0.6	12.7	130.6	1.3	0	0.05
0	12.6	3	0	3	12	3	1	1	1	344.2	85.9	-7.4	199.1	611.2	1.4	0.0253	3	1.4	0.0281	258.3	3.1	0	3.54
0	13.2	2	0	2	11	3	0	1	1	341.7	26.6	-4	180.8	574.1	2.6	0.00208	2	2.5	0.00277	315.1	3.1	0	4.15
0.04	9.6	2	0	2	5	2	0	0	0	253.8	42.3	-3.7	84.2	331.2	0.1	1.39	2	0.4	0.867	211.4	2.1	0	2.27
0	8.3	2	0	2	6	2	1	0	0	285.4	70.8	-3.2	104.2	382.7	0.6	0.466	2	1.7	0.0528	214.6	2.1	0	2.01
0	10.4	2	0	2	7	2	1	0	0	300.6	29.7	-3	119.2	424.5	0.9	0.204	2	1.3	0.0951	270.9	2.5	0	2.5
0	11.6	1	0	1	6	1	1	0	0	304	9.8	0	120	415	1.2	0.132	1	1.4	0.0858	294.3	2.1	0	2.12
0.07	10	0	0	0	8	0	0	1	1	312.3	0	-0.1	148.3	481	2.9	0.00324	0	3.1	0.00243	312.3	2.6	0	3.82
0	20.7	0	3	3	9	3	2	1	0	350.3	90.1	-92.7	150.1	500.4	-0.5	1.9	3	-1.6	14.9	260.2	2.7	0	1.82
0	10.3	0	0	0	10	0	0	2	2	281	0	-1.2	168.6	514.8	3.4	0.000936	0	3.2	0.00143	281	2.6	0	4.32
0.62	16.4	2	0	2	8	2	3	0	0	345.5	35.5	-1.2	143.4	509	1.4	0.0599	2	1.8	0.0236	310	3.1	0	3.81
0	15	0	1	1	5	1	2	0	0	273.3	69.2	-68.4	101.1	376.5	0.8	0.374	1	0.8	0.349	204.1	2.3	0	2.44
0	20.9	2	0	2	10	2	5	0	0	401.5	23.1	0.4	182.2	622.6	2.1	0.0097	2	2.8	0.00214	378.4	3.8	0	4.09
0.01	18.1	1	0	1	11	1	3	1	1	371	2.6	0.1	197.8	630.1	2.8	0.00199	1	3.5	0.000471	368.3	3.5	0	4.42
-0.09	28.5	0	1	1	11	1	8	0	0	439.9	68.9	-67.2	218.2	719.6	2.9	0.00148	1	3.8	0.00026	370.9	4.3	0	5.18
-0.12	33	0	1	1	13	1	10	0	0	485.5	69.2	-66.8	257.5	834.3	3.5	0.000301	1	4.8	2.35e-05	416.3	5	0	6.26
0	13.7	0	1	1	10	1	1	1	1	363.8	6.6	-0.4	180.2	574.2	2.5	0.00466	1	2.7	0.00346	357.1	3.1	0	3.44
-0.05	21.8	0	1	1	8	1	5	0	0	345.6	54.2	-52.7	159.7	548.3	1.9	0.0196	1	2.3	0.00952	291.3	3.3	0	3.72
-0.02	16.9	2	0	2	8	2	4	0	0	324	93.1	-75.2	139.3	487.9	1.4	0.0609	2	2.1	0.0161	230.9	2.8	0	2.76
-0.01	20.9	2	0	2	10	2	5	0	0	401.7	39.7	-1	182.5	623.4	2.1	0.0097	2	2.8	0.00214	362	3.7	0	4.56
-0.04	19.5	0	1	1	7	1	4	0	0	333.8	68.9	-68	140.1	490.7	1.6	0.0497	1	1.8	0.0316	264.8	3	0	3.25
1.93	11.1	0	1	1	8	1	0	1	1	288	15.7	-2.6	142.1	460.9	1.9	0.0268	1	1.6	0.0426	272.3	2.5	0	3.03
0.05	21.3	0	1	1	11	1	3	1	0	414.1	0	1.6	205.4	638.7	2.5	0.00332	1	3.3	0.000705	414.1	2.8	0	3.86
0	22.3	1	0	1	11	2	6	0	0	449.6	41.8	-2.2	206.8	675.4	2	0.00928	2	2	0.00855	407.7	3.5	0	3.25
0.05	19.9	0	0	0	11	1	2	1	1	389.3	0	0	200.5	611.1	2.8	0.00203	1	3.2	0.00104	389.3	2.9	0	3.96
0.08	20.6	1	2	3	8	2	4	0	0	360.5	42.9	-4.4	149.1	504.6	0.7	0.215	2	0	0.786	317.6	2.5	0	1.82
0	15.7	0	1	1	10	1	2	1	1	358.1	3.5	-5.6	181.5	566	2.5	0.00458	1	1.7	0.0206	354.6	2.8	0	3.55
0.03	15.4	0	0	0	9	1	0	1	1	316.2	0	-2.1	161.5	511	2.2	0.011	1	2.2	0.0115	316.2	2.6	0	3.27
0.29	8.8	1	0	1	5	2	0	0	0	248.5	28.4	-5.3	89.7	338.9	-0.3	3.14	2	-0.9	11.5	220.1	1.9	0	0.84
-0.05	23.7	2	0	2	11	2	7	0	0	403.9	93.1	-74.6	197.8	659.4	2.4	0.00418	2	3.5	0.000438	310.8	3.8	0	3.18
-0.08	26.3	0	1	1	10	1	7	0	0	406.3	69.2	-67.4	198.8	662.5	2.6	0.00341	1	3.3	0.000862	337.1	4	0	4.82
-0.06	24	0	1	1	9	1	6	0	0	379.4	69.2	-67.6	179.3	605.4	2.3	0.00805	1	2.8	0.00287	310.2	3.6	0	4.4
-0.05	22.4	1	0	1	10	1	7	0	0	394.6	64.4	-1.7	214.2	683.6	2.4	0.00494	1	3.3	0.000935	330.2	3.6	0	4.3
0	10.6	1	1	2	7	1	0	1	1	246.5	50.9	-5.9	116.9	391.1	1.5	0.0668	1	1.5	0.0659	195.6	2.1	0	6.22
0	14.7	2	0	2	7	2	3	0	0	289.4	75.2	-60.4	119.8	431	1	0.162	2	1.6	0.0534	214.1	2.5	0	3.12
-0.02	13.6	1	1	2	6	1	3	0	0	295.7	39.3	-3.1	118.2	428.2	1.2	0.132	1	1.3	0.104	256.4	2.5	0	2.21
0	15	0	1	1	5	1	2	0	0	273.3	69.2	-68.4	101.1	376.5	0.8	0.374	1	0.8	0.349	204.1	2.3	0	2.69
-0.02	18.6	0	0	0	11	0	4	1	1	417.6	0	0.9	208	654	3.9	0.000266	0	4.5	7.41e-05	417.6	3.5	0	4.94
0.03	22.5	2	2	4	13	3	4	1	1	406.9	66.1	-9.1	210.7	637.6	1.1	0.0347	3	0.6	0.0869	340.8	3	0	2.39
0	14.1	2	0	2	7	2	2	0	0	326.7	33.1	-1.2	123.9	451.8	1	0.159	2	1.4	0.0785	293.6	2.8	0	3.23
0	12.8	0	1	1	4	1	1	0	0	239.5	54.2	-53.5	81.6	319.5	0.3	1.15	1	0.3	1.16	185.3	2	0	2.28
-0.13	35.3	0	1	1	14	1	11	0	0	512.4	69.2	-66.6	277	891.4	3.7	0.000139	1	5.3	7.07e-06	443.2	5.4	0	6.45
-0.1	30.8	0	1	1	12	1	9	0	0	459.3	69.2	-67	237.9	776.9	3.2	0.000662	1	4.3	7.81e-05	390.1	4.7	0	2.91
2.33	11.6	0	1	1	8	2	0	1	1	270.4	55.7	-4.7	143.2	458.1	2.1	0.0112	1	1.7	0.025	214.6	2.4	0	4.35
0	11.9	1	1	2	8	2	0	1	1	267.3	45.8	-5.6	137.6	445.1	2.1	0.0111	1	2.2	0.0104	221.5	2.3	0	4
0	11	1	1	2	8	1	0	1	1	273.8	30.5	-3.5	134.4	440.1	1.9	0.0264	1	2.1	0.0178	243.3	2.3	0	3.9
0	11.7	0	0	0	8	2	0	1	1	275.1	0	-1.2	153.5	482.7	3.5	0.00057	0	3.3	0.000837	275.1	2.4	0	4.19
0	15.6	1	1	2	13	1	0	2	2	381.3	30.4	-4.4	209.3	621.1	3.1	0.00077	1	3.3	0.000573	351	3	0	4.5
0	10	0	0	0	8	0	0	1	1	305.6	0	-0.3	146.6	471.8	2.9	0.00324	0	3.1	0.00243	305.6	2.4	0	3.81
0	11.6	0	1	1	8	2	0	1	1	272.3	60.9	-5.1	143.5	462	2.1	0.0112	1	1.7	0.025	211.4	2.5	0	3.62
0	12.2	1	1	2	9	2	0	1	1	287.3	48.8	-5.5	154.3	490.7	2.5	0.00453	1	2.7	0.00281	238.5	2.5	0	4.4
0	11.9	1	1	2	8	2	0	1	1	265.7	50.9	-6.1	137.6	447	2.1	0.0111	1	2.2	0.0104	214.8	2.3	0	4.46
0	11	1	1	2	8	1	0	1	1	277	37.4	-4.2	134.7	442.7	1.9	0.0264	1	2.1	0.0178	239.6	2.5	0	3.76
0	11.7	0	0	0	8	2	0	1	1	277.8	0	-1.2	154.3	489.6	3.5	0.00057	0	3.3	0.000837	277.8	2.1	0	4.27
0	15.4	1	1	2	12	6	0	1	1	350.1	32.6	-6.5	248	705	5.1	7.21e-08	1	6	1.4e-08	317.5	2.6	0	6.72
0	10.4	0	0	0	7	5	1	0	0	305.8	0	-1.6	164.2	506.8	3	0.000628	0	3.1	0.000462	305.8	1.9	0	4.43
0.08	17.1	1	1	2	12	6	0	1	1	323.7	41.6	-6	217.3	638.5	4.4	1.15e-05	1	4.7	6.5e-06	282.1	2.5	0	6.04
0	15.9	1	0	1	11	6	0	1	1	309.2	11	-3.5	206.4	617.8	3.5	9.62e-05	1	4	3.37e-05	298.2	2.3	0	5.73
0	13.1	0	1	1	12	6	0	1	1	258.6	60.9	-0.8	154.4	492.3	3.7	0.000204	1	2.1	0.00488	197.7	2.4	0	3.69
0	14.1	1	0	1	13	6	0	1	1	267.9	44.7	-2.6	163.3	514.2	3.6	0.00018	1	2.7	0.00113	223.2	2.4	0	5.25
0	15.8	1	0	1	6	1	3	0	0	299.1	45.2	-4.2	114.5	416	1.1	0.182	1	1.3	0.113	253.9	2.4	0	3.82
0	13.3	1	1	2	9	1	1	1	1	311.7	37.4	-3.5	153.6	495.9	2.2	0.0108	1	2.6	0.00534	274.3	2.7	0	4.07
0	10.6	1	1	2	7	1	0	1	1	246.5	50.9	-5.9	116.9	391.1	1.5	0.0668	1	1.5	0.0659	195.6	2.1	0	3.5
-0.01	15.6	3	1	4	16	3	0	2	2	420.3	42.9	-5.2	240.3	719.6	3.5	0.000191	3	3.8	9.42e-05	377.4	3.7	0	5.27
0.01	10.7	2	0	2	10	2	0	2	2	275.5	63.2	-11.1	152.7	477.5	1.7	0.0259	2	1.1	0.0786	212.3	2.4	0	3.11
0	5.6	1	1	2	4	1	1	0	0	218	56.8	-6.4	77.4	299.8	0.2	1.64	1	-0.4	5.6	161.2	1.9	0	4.56
0	8.9	1	0	1	4	1	1	0	0	236.7	58.9	-2.7	96.8	340.2	0.2	1.67	1	0.3	1.26	177.8	1.8	0	1.56
0.02	11.2	0	0	0	12	0	1	1	1	386.9	0	1.4	218.1	650.7	4	0.00015	0	4.8	3.36e-05	386.9	3.2	0	3.51
0.02	12.8	1	1	2	12	1	2	1	1	366.7	36.7	-2.4	206.5	617.8	3.1	0.000889	1	3.9	0.000181	330	3	0	4.8
0.02	10.5	1	1	2	11	1	1	1	1	381.1	43.8	-3.3	189.1	576.1	2.8	0.00199	1	3.4	0.000602	337.3	2.8	0	4.47
0	10	0	0	0	8	0	0	1	1	308	0	-0.2	148.2	480.8	2.9	0.00324	0	3.1	0.00243	308	2.6	0	4.21
0	9.4	1	0	1	6	1	0	1	1	224.2	16.2	-3.2	105.4	360.3	0.5	0.661	1	0.8	0.341	208	1.9	0	2.9
0	10.5	1	0	1	10	1	0	2	2	286.2	13.9	-3.2	161.5	500.3	2.1	0.0124	1	2.1	0.0106	272.3	2.6	0	3.45
0	12.2	0	1	1	5	1	1	0	0	271.9	48	-46.6	100.6	370.9	0.8	0.374	1	0.8	0.404	223.9	2	1	2.42
0.14	11.3	0	0	0	8	0	0	1	1	278.3	0	-0.4	145.9	466	2.9	0.00401	0	2.9	0.00368	278.3	2.5	0	3.51
0.92	12.2	2	0	2	8	2	1	0	0	348.1	14.2	1	140.3	478.6	1.4	0.0599	2	1.7	0.0294	333.9	2.5	0	2.55
0	12.6	0	1	1	9	1	2	0	0	367.7	34.3	-31.8	169.5	530.5	2.3	0.00805	1	2.6	0.00444	333.4	2.4	0	3.72
0	10	0	0	0	6	4	0	0	0	255.3	0	-1.5	136.9	448	2.5	0.00308	0	3	0.00114	255.3	1.8	0	3.91
0.04	15.8	1	1	2	11	5	0	1	1	306.9	45.8	-6.2	197.5	591.6	3.9	6.16e-05	1	4.1	4.11e-05	261.1	2.5	0	6.13
0	10.8	1	0	1	5	1	0	1	0	260.1	20.7	-2.9	90.7	341	0.4	0.837	1	0.9	0.296	239.5	1.8	0	1.52
0.15	11.9	1	1	2	11	1	1	1	1	375.3	29.5	-1.9	189.2	589.2	2.8	0.00199	1	3.5	0.000501	345.9	2.9	0	4.67
0	9.6	0	0	0	7	0	0	1	1	276.7	0	-0.4	130.5	429.3	2.6	0.0079	0	2.5	0.00903	276.7	2.3	0	3.42
0	13	0	0	0	5	3	0	0	0	243.1	0	-1.1	116.5	398	2.1	0.0115	0	2.5	0.00534	243.1	1.7	0	3.47
0	12.4	3	0	3	6	3	0	1	0	256.3	55.2	-4.7	89.5	335.8	-0.5	4.02	3	-0.6	4.13	201.1	1.8	0	1.18
0	26.1	0	1	1	10	1	6	0	0	435.5	0.2	2.3	202.1	660.5	2.6	0.00341	1	3	0.00157	435.4	3.1	0	3.45
