moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Activity
-50490	-285600	-104.4	-9.303	9.303	1.226	1.013	492.4	61.34	66.55	430.5	61.84	54.48	59.11	5.207	4.625	1.168	2.892	-0.5743	16.09	2.586e-06	0	0	-3.105	-0.4774	1.886	4.28	-19.22	16.66	0.1246	0.1352	0.8744	0.1256	0.1107	0.12	-50710	-282100	-88.41	-9.278	9.278	0.9904	0.7447	-48140	-281900	-89.71	-9.384	9.384	1.103	0.8344	279	0.8124	0.4357	0.07045	-0.4299	-0.003308	0.02609	4085	1204	2124	756.8	4.708	4.523	0.9187	0.7305	226.9	5.27
-33180	-154100	-96.86	-10.85	10.85	3.353	1.521	351.1	39.88	22.24	289	62.13	27.12	15.13	17.64	11.99	-1.305	0.7371	-4.441e-15	7.668	0	0	0	-4.164	-0.08977	0.9875	1.215	-10.61	7.668	0.1136	0.06335	0.8231	0.1769	0.07723	0.04308	-33350	-152700	-86.56	-11.3	11.3	3.154	1.365	-31620	-151900	-83.83	-10.89	10.89	3.061	1.407	176.7	0.8014	0.4617	0.3904	-0.2465	-0.00548	0.05203	1046	371.5	663.3	10.89	3	2.941	0.8705	0.6709	145	3.51
-29590	-128500	-90.01	-10.85	10.85	3.368	1.515	318.2	39.88	22.24	256.1	62.13	27.12	15.13	17.64	11.99	-1.21	0.6556	7.994e-15	6.279	0	0	0	-4.424	-0.06251	0.8555	1.123	-8.938	6.279	0.1253	0.06991	0.8048	0.1952	0.08523	0.04754	-29740	-127500	-81.85	-11.3	11.3	3.194	1.369	-28180	-126700	-78.41	-10.89	10.89	3.083	1.41	156.5	0.8022	0.4618	-0.3907	0.2462	0.0048	0.06558	712.2	230.9	471.9	9.341	2.64	2.594	0.8517	0.6642	127.4	2.94
-37980	-161200	-60.36	-8.966	8.966	0.3941	1.698	300.3	145.4	103.7	210.7	89.64	217.3	155.1	41.63	62.24	46.42	5.825	-6.033	40.2	0.0002551	0	0	-7.092	-0.6191	0.6943	25.17	0.319	46.23	0.484	0.3454	0.7015	0.2985	0.7236	0.5163	-38110	-160700	-65.87	-8.773	8.773	0.2261	1.404	-35500	-157900	-59.99	-9.031	9.031	0.3025	1.357	144.6	1.015	0.4097	-0.1509	0.3809	0.004195	0.01989	577.3	218	357.6	1.632	2.156	2.164	1.35	0.3053	122.2	3.22
-34470	-182800	-45.46	-9.771	9.771	3.472	1.543	378.5	37.19	14.98	326.3	52.18	36.82	14.83	22.21	21.98	-3.123	0.784	-3.197e-14	13.56	0	0	0	-2.703	-0.1721	1.238	2.652	-18.54	13.56	0.09826	0.03959	0.8621	0.1379	0.09728	0.0392	-34630	-180600	-38.81	-10.44	10.44	3.016	1.497	-32400	-179900	-45.32	-9.461	9.461	3.043	1.465	199.9	0.7815	0.3675	0.3469	0.12	-0.01881	0.06101	1202	407.1	756.4	38.08	3.049	3.09	0.9743	0.7632	165.4	4.4
-35640	-187900	34.07	-8.585	8.585	-0.2656	0.2757	338.3	150.8	129.8	338.3	0	179.9	154.9	20.94	24.99	45.7	0.2764	2.59	42.62	0.000116	0	0	-3.698	-0.04578	2.928	9.89	-0.07485	40.03	0.4457	0.3838	1	0	0.5319	0.4581	-35680	-186900	33.31	-8.545	8.545	-0.3915	0.0603	-33600	-183900	32.11	-8.69	8.69	-0.4014	0.3018	167.5	0.9108	0.05353	0.001677	-0.0535	0.000652	0.0174	695.8	420.4	273.8	1.666	2.212	2.083	1.758	0.2747	156.1	4.2
-39440	-192400	-2.167	-8.489	8.489	-0.3679	1.464	323.4	160.6	151.8	283.5	39.91	254.1	240.2	8.783	13.9	39.79	1.272	1.909	35.84	0.0001162	0	0	-8.232	-0.2994	2.969	5.652	0.008862	33.93	0.4965	0.4693	0.8766	0.1234	0.7857	0.7427	-39510	-191700	-6.839	-8.345	8.345	-0.4173	1.366	-36920	-188300	-4.123	-8.591	8.591	-0.4707	1.372	157.5	0.9952	0.4235	-0.4089	0.1102	0.005528	5.276e-06	691.1	420.8	270.3	0.06885	2.189	2.05	1.653	0.004709	144.9	4.54
-40370	-208400	-110.6	-10.85	10.85	3.337	1.52	411.9	41.69	22.34	347.9	64.03	28.35	15.19	19.35	13.16	-1.416	0.9109	3.553e-15	10.44	0	0	0	-3.649	-0.1285	1.295	1.476	-13.94	10.44	0.1012	0.05423	0.8446	0.1554	0.06882	0.03688	-40570	-206100	-95.98	-11.3	11.3	3.105	1.363	-38520	-205700	-94.49	-10.89	10.89	3.034	1.404	215.5	0.7981	0.4615	-0.3697	0.2761	0.00436	0.03469	1995	617.8	1363	13.99	3.719	3.651	0.8842	0.68	180.8	4.41
-36780	-180800	-103.7	-10.85	10.85	3.343	1.513	383.7	41.85	22.34	319.5	64.19	28.46	15.19	19.51	13.27	-1.365	0.8242	-1.066e-14	9.055	0	0	0	-3.917	-0.1034	1.13	1.341	-12.27	9.055	0.1091	0.05823	0.8327	0.1673	0.07417	0.0396	-36960	-178900	-91.27	-11.3	11.3	3.126	1.366	-35070	-178300	-89.25	-10.89	10.89	3.046	1.407	196.4	0.8108	0.4618	0.3701	-0.2761	-0.00504	0.04201	1469	488.5	968.5	12.44	3.359	3.298	0.8726	0.676	160.6	3.98
-35440	-166600	-30.43	-10.76	10.76	1.606	1.37	363	48.87	85.5	308.9	54.16	51.66	90.37	36.62	38.71	1.089	0.5773	-1.734	6.713	0	0	0	-4.124	-0.1503	1.633	1.925	-7.685	8.447	0.1346	0.2355	0.8508	0.1492	0.1423	0.2489	-35580	-164900	-22.53	-10.83	10.83	1.647	1.526	-33590	-163700	-23.65	-10.94	10.94	1.575	1.349	188	0.8122	0.4093	0.0934	0.2159	0.3349	0.0562	1042	356.9	651.8	33.07	2.873	2.855	1.019	0.6768	155.4	5.49
-18810	-60320	-69.53	-10.85	10.85	3.489	1.538	228.3	39.88	22.24	166.2	62.13	27.12	15.13	17.64	11.99	-1.047	0.4024	2.665e-15	2.08	0	0	0	-5.191	0.001149	0.4103	0.7366	-3.94	2.08	0.1747	0.09743	0.7279	0.2721	0.1188	0.06625	-18920	-60270	-67.67	-11.3	11.3	3.392	1.382	-17830	-59280	-62.2	-10.88	10.88	3.229	1.425	97.84	0.8107	0.4618	0.3907	-0.2462	-0.0048	0.1608	147.1	65.27	77.16	4.695	1.565	1.553	0.7917	0.6229	74.12	1.12
-47560	-266500	-124.1	-10.85	10.85	3.328	1.519	473.7	39.88	22.24	411.6	62.13	27.12	15.13	17.64	11.99	-1.556	1.076	-1.421e-14	13.22	0	0	0	-3.147	-0.1667	1.581	1.708	-17.27	13.22	0.08419	0.04696	0.8689	0.1311	0.05725	0.03193	-47780	-263100	-105.4	-11.3	11.3	3.076	1.361	-45420	-263100	-105.5	-10.89	10.89	3.019	1.404	255.6	0.7959	0.4618	0.3907	-0.2462	-0.0048	0.02471	3395	1143	2235	17.09	4.439	4.365	0.8931	0.6861	216.5	5.22
-40120	-116100	-76.16	-11.58	11.58	-0.3997	1.381	269	36.16	196.9	35.94	233.1	56.05	305.2	160.8	249.2	20.09	0.366	14.57	18.26	0	0	0	-7.894	-0.06012	0.7807	1.126	0.7386	3.694	0.1344	0.732	0.1336	0.8664	0.2083	1.135	-38860	-113900	-71.22	-12.17	12.17	-0.5373	3.051	-35230	-111500	-67.86	-10.59	10.59	-0.00706	2.361	130.9	1.492	0.8662	-0.1861	-0.7753	-0.3385	0.3535	484	162.8	146.6	174.5	1.8	1.358	0.8867	0.8076	100.1	2.8
-23690	-108800	-30.52	-9.704	9.704	3.596	1.561	272	39.07	18.16	214.7	57.23	38.68	17.98	20.91	20.7	14.36	0.4322	1.066e-14	16.4	0	0	0	-3.631	-0.1118	0.7997	5.337	-3.162	16.4	0.1437	0.06679	0.7895	0.2105	0.1422	0.06612	-23790	-107700	-15.29	-10.37	10.37	3.219	1.475	-22050	-106300	-28.86	-9.422	9.422	3.135	1.465	133.6	0.7844	0.3682	-0.01449	0.3677	-0.0135	0.6291	246.5	64.77	105.3	76.49	1.682	1.347	1.1	1.068	111.1	2.26
-73570	-405200	-58.08	-9.219	9.219	-0.2502	0.7098	440.6	141.5	275.4	380.8	59.71	368.6	717.7	133.9	349.1	52.13	2.301	-0.9031	47.95	0.0002214	0	0	-12.18	-0.4362	1.265	13.31	1.053	48.85	0.3211	0.6252	0.8645	0.1355	0.8368	1.629	-72800	-400700	-59.93	-9.258	9.258	-0.4857	2.233	-67220	-398700	-59.81	-9.106	9.106	-0.2848	0.7757	248.7	1.164	0.6512	-0.04658	-0.3739	-0.5311	0.1641	3020	945	1384	690.9	3.35	2.511	1.566	1.017	231.1	5.94
-60210	-231200	-43.29	-9.509	9.509	-0.7519	1.221	340.2	72.4	267.8	298.9	41.33	100.7	372.4	195.4	271.7	26.76	1.32	0.1033	24.67	0.000216	0	0	-5.804	0.07473	0.6882	2.232	0.001008	24.57	0.2128	0.7872	0.8785	0.1215	0.2959	1.095	-58480	-227400	-45.52	-9.822	9.822	-1.228	2.2	-53090	-224000	-44.33	-9.147	9.147	-0.6262	1.006	179.8	1.455	0.584	0.01002	-0.584	-0.00164	9.903e-07	1558	807.5	750.7	0.06484	2.592	1.811	1.549	0.001802	159.4	5.74
-60210	-231100	-41.86	-9.454	9.454	-0.7517	0.4741	342.5	69.53	273	307.3	35.21	96.68	379.6	203.4	282.9	28.17	1.325	3.018	26.07	0.0002131	0	0	-6.438	0.09408	0.6803	1.833	0.0008959	23.05	0.203	0.797	0.8972	0.1028	0.2823	1.108	-58480	-227400	-45.83	-9.797	9.797	-1.221	0.9088	-53090	-223900	-43.87	-9.077	9.077	-0.6252	0.6832	182.5	1.446	0.1141	-0.09725	-0.0596	0.002136	1.118e-06	1618	683.3	934.6	0.06608	2.641	1.77	1.589	0.001872	160.4	5.35
-58440	-250600	-25.54	-9.929	9.929	-1.026	3.645	360.6	86.35	220.9	329.1	31.41	121	309.4	134.5	188.5	44.4	2.376	4.94	40.44	0.0001408	0	0	-10.61	0.7579	1.023	8.491	-0.1966	35.5	0.2395	0.6126	0.9129	0.08713	0.3355	0.8582	-57160	-247000	-22.33	-10.25	10.25	-1.362	4.155	-52310	-243900	-32.59	-9.466	9.466	-0.8577	3.042	193.1	1.282	1.496	0.8345	1.242	0.002092	0.01836	1573	898.3	672.9	1.699	2.653	2.252	1.44	0.3051	174.4	5.05
-49620	-193500	2.444	-8.793	8.793	-0.2199	3.259	328.4	109.6	218.8	272.5	55.91	189.8	378.7	109.1	188.9	37.28	4.294	2.307	24.68	0.0002497	0	0	-6.105	0.2494	0.5146	1.832	7.541	22.37	0.3339	0.6661	0.8297	0.1703	0.5779	1.153	-48300	-190600	6.18	-9.389	9.389	-0.7567	3.718	-43470	-186700	3.526	-8.706	8.706	-0.2574	2.244	172	1.315	0.9981	0.8078	0.5863	-0.002974	7.571e-07	1119	421.6	696.9	0.05146	2.386	1.891	1.489	0.001646	149.4	4.74
-57920	-228600	-3.531	-8.994	8.994	-0.5601	1.835	346.6	86.85	259.8	299.2	47.44	152.7	456.7	172.9	304	44.29	4.378	7.215	31.47	0.000269	0	0	-5.705	0.3367	0.5731	2.108	7.541	24.25	0.2506	0.7494	0.8631	0.1369	0.4405	1.317	-56150	-224800	1.983	-9.622	9.622	-1.186	1.665	-50420	-220600	-2.573	-8.914	8.914	-0.5446	1.442	186.8	1.423	0.109	-0.09517	0.05324	1e-04	1.579e-06	1651	678.2	972.6	0.05966	2.674	1.845	1.617	0.002319	162.2	5.93
-37780	-190300	-42.32	-8.783	8.783	0.3828	1.437	330.7	124	64.4	298.4	32.33	156.6	81.33	59.63	75.31	37.1	1.026	-2.136	35.77	0.0002186	0	0	-6.549	-0.3454	0.9053	12.04	-0.2506	37.9	0.375	0.1947	0.9023	0.09775	0.4737	0.2459	-37900	-189200	-42	-8.827	8.827	0.01274	1.19	-35650	-186800	-47.05	-8.859	8.859	0.2994	1.435	168.2	0.9095	0.4618	-0.1492	0.437	0.003025	0.04582	646.5	239.5	402.1	4.818	2.179	2.171	1.589	0.4647	149.8	4.22
-20870	-87990	16.88	-9.217	9.217	0.6659	0.3947	284.1	107.5	68.35	218.8	65.26	94.21	59.9	39.15	34.31	16.83	0.6295	-0.1457	9.525	9.247e-05	0	0	-0.4539	0.1041	1.041	5.268	5.534	9.671	0.3784	0.2406	0.7703	0.2297	0.3316	0.2108	-20950	-87360	15.25	-9.806	9.806	0.9707	0.0795	-19940	-86230	15.21	-9.55	9.55	0.6912	0.3873	138.6	0.7519	0.06819	0.05972	0.000364	0.03293	0.2467	250.3	64.27	146.7	39.27	1.745	1.633	1.268	0.8114	109.2	4.08
-51910	-194200	-40.03	-9.388	9.388	-0.5556	1.303	323	78.59	244.4	283.3	39.71	107.2	333.3	165.8	226.1	19.64	1.247	-1.668	17.79	0.0002578	0	0	-4.619	-0.01841	0.6253	1.816	0.0008805	19.46	0.2433	0.7567	0.8771	0.1229	0.3317	1.032	-50630	-191500	-44.54	-9.644	9.644	-0.9743	1.883	-46140	-188100	-39.89	-9.093	9.093	-0.4876	1.156	165.7	1.371	0.534	-0.5018	-0.1825	0.00262	1.405e-06	1296	927.5	368.8	0.07727	2.562	1.809	1.457	0.002144	144	5.34
-49620	-192100	0.03915	-8.761	8.761	-0.2404	1.883	329.8	95.36	234.5	282.4	47.44	165.1	405.8	139.1	240.8	32.33	4.298	0.6444	19.75	0.0002714	0	0	-4.375	0.2566	0.4854	1.243	7.541	19.11	0.2891	0.7109	0.8562	0.1438	0.5005	1.23	-48300	-189200	2.958	-9.394	9.394	-0.7766	1.675	-43470	-185000	2.012	-8.719	8.719	-0.2989	1.459	172.4	1.322	0.1064	-0.09301	0.05165	1e-04	1.437e-06	1309	683.3	625.9	0.07796	2.582	1.88	1.491	0.002253	148.6	4.59
-51910	-194500	-38.31	-9.39	9.39	-0.5016	1.073	324.9	77.06	247.8	290.4	34.46	105.1	337.9	170.8	232.8	18.18	1.255	-1.591	16.29	0.0002637	0	0	-5.075	-0.008995	0.6341	0.8399	0.0008721	17.88	0.2372	0.7628	0.8939	0.1061	0.3234	1.04	-50630	-191800	-44.57	-9.629	9.629	-0.9022	1.09	-46140	-188300	-39.43	-9.125	9.125	-0.4419	1.002	167.9	1.376	0.4229	-0.09214	-0.4128	-0.00272	1.457e-06	1307	684.6	622.7	0.07851	2.573	1.759	1.51	0.002123	143.5	4.64
-37780	-189000	-43.58	-8.693	8.693	0.4283	1.184	338.1	120	59.25	307.1	31.02	151.5	74.83	60.73	76.71	32.9	1.022	-2.175	31.59	0.0002653	0	0	-6.588	-0.3515	0.8986	10.35	-0.252	33.76	0.3548	0.1752	0.9083	0.09174	0.4482	0.2213	-37900	-187900	-46.12	-8.773	8.773	0.09611	1.13	-35650	-185500	-47.89	-8.776	8.776	0.3277	1.167	172.2	0.9034	0.4239	-0.09112	-0.4139	-0.002399	0.05374	673.5	364.4	304.3	4.833	2.224	2.005	1.879	0.4648	150.8	4.02
-70090	-562100	-70.11	-8.647	8.647	0.5509	1.422	510.6	6.044	11.34	503.8	6.864	7.634	14.32	5.293	6.684	118.7	1.633	-2.175	111.1	0.0002186	-7.105e-15	-7.105e-15	-1.646	-0.5672	2.252	39.34	4.318	113.3	0.01184	0.0222	0.9866	0.01344	0.01495	0.02804	-70310	-553400	-25.87	-9.104	9.104	-0.01796	1.374	-66670	-554700	-81.75	-8.74	8.74	0.4202	1.389	317.9	0.8715	0.4235	-0.1025	0.4109	0.002529	0.2049	2503	1198	1141	163.9	3.088	2.451	2.408	1.11	301.1	6.39
-50140	-208700	-25.83	-10.02	10.02	-0.8697	3.033	351.5	93.5	226.1	241.4	110.1	153.1	370.1	132.6	217.1	36.89	2.702	9.747	32.99	0.0002197	0	0	-11.06	0.8594	1.05	2.966	-0.7114	23.24	0.266	0.6432	0.6868	0.3132	0.4354	1.053	-49320	-206500	-27.53	-10.11	10.11	-0.9899	2.487	-45360	-202600	-24.81	-9.737	9.737	-0.739	2.918	182.6	1.182	1.001	-0.765	-0.646	0.003854	0.01738	1823	164.7	1656	1.627	3.105	2.281	1.338	0.3007	160	4.21
-41310	-158800	6.283	-8.675	8.675	0.01574	2.507	312	117	195.1	257.1	54.91	199.3	332.4	78.11	133.1	27.78	4.212	-1.789	15.43	0.0002161	0	0	-5.171	0.1612	0.4421	1.089	7.541	17.22	0.3748	0.6252	0.824	0.176	0.6387	1.065	-40450	-157000	7.933	-9.208	9.208	-0.4899	2.592	-36520	-153100	8.106	-8.648	8.648	-0.1215	1.855	156.9	1.215	0.5312	-0.08488	-0.5244	-0.000227	9.056e-07	924	678.2	245.8	0.04945	2.388	1.869	1.422	0.001779	133.4	4.07
-46550	-179800	-20.61	-10.02	10.02	-0.9656	1.717	320.7	107.8	212.9	261	59.73	148.1	292.5	105.1	144.5	22.09	1.634	-2.01	18.91	0.0001513	0	0	-6.903	0.5799	0.9728	1.58	0.0008544	20.92	0.3361	0.6639	0.8138	0.1862	0.4618	0.9122	-45710	-177900	-20.88	-10.17	10.17	-0.9358	2.245	-41920	-174300	-22.26	-9.702	9.702	-0.9186	1.864	162.3	1.231	0.4433	0.1991	-0.396	-0.003529	1.58e-06	1127	749.2	377.5	0.0862	2.537	1.905	1.437	0.002395	142.1	4.99
-43610	-161200	-35.14	-9.271	9.271	-0.2448	0.4017	304.9	95.32	209.5	264.2	40.67	127.4	280.1	114.2	152.7	15.29	1.164	-2.869	13.68	0.0002178	0	0	-3.892	-0.1004	0.5498	0.9544	0.0009154	16.55	0.3127	0.6873	0.8666	0.1334	0.4179	0.9186	-42780	-159500	-40.57	-9.409	9.409	-0.5849	1.051	-39190	-156300	-34.57	-9.093	9.093	-0.243	0.5218	150.3	1.265	0.1134	-0.09645	-0.0596	0.002313	1.148e-06	922.2	679.5	242.6	0.04794	2.379	1.756	1.419	0.001881	128.9	4.3
-39810	-156700	1.173	-9.447	9.447	-0.1489	1.457	322.3	86.42	187	322.3	0	81.89	177.2	100.6	95.29	20.97	0.2352	-2.649	20.25	0.0002194	0	0	-0.9215	0.1032	0.4672	3.704	-0.08306	22.89	0.2682	0.5802	1	0	0.2541	0.5498	-38950	-154700	0.2119	-9.786	9.786	-0.6027	1.84	-35870	-152100	1.377	-9.252	9.252	-0.1762	1.095	161.4	1.14	0.4988	-0.03986	-0.4972	-0.0006855	0.02822	926.5	680.4	244.4	1.645	2.399	1.935	1.372	0.325	141.2	4.54
-51890	-250600	-85.65	-9.233	9.233	-0.2911	4.042	359.9	163.4	93.35	222.8	137.1	285.2	162.9	70.07	122.3	91.72	11.13	-2.586	78.71	0.0003042	0	0	-5.003	-0.2994	1.54	50.19	0.6369	81.3	0.4541	0.2594	0.6191	0.3809	0.7925	0.4527	-52070	-249500	-88.23	-9.105	9.105	-0.1426	3.131	-48440	-245800	-86.01	-9.297	9.297	-0.3428	3.56	183.5	1.023	0.9502	0.5392	0.7824	-0.0007621	0.02476	1111	698.1	409.2	3.249	2.585	2.411	1.738	0.3794	162.4	3.92
-33170	-169200	-88.01	-10.65	10.65	3.441	1.491	318.8	17.49	11.84	289.4	29.33	11.89	8.051	5.65	3.842	21.4	0.5014	-7.105e-15	22.97	0	0	0	-3.547	-0.2291	0.9823	8.866	-2.82	22.97	0.05487	0.03714	0.908	0.09201	0.03731	0.02526	-33340	-166500	-70.83	-11	11	2.943	1.326	-31620	-166900	-83.54	-10.76	10.76	3.066	1.578	166.7	0.8191	0.4616	0.1935	0.2528	0.3344	0.2777	476.4	161.7	233.7	81.03	2.025	1.897	1.159	0.9995	141.9	2.85
-20880	-84020	10.83	-8.788	8.788	0.4039	0.1987	286.4	111.1	65.18	250.7	35.66	97.34	57.12	45.89	40.22	18.12	0.3897	1.014	23.09	2e-06	0	0	-0.5428	-0.1041	1.041	14.76	-6.3	22.08	0.3879	0.2276	0.8755	0.1245	0.3399	0.1995	-20960	-83770	9.528	-9.172	9.172	0.3448	0.06719	-19940	-82900	10.71	-8.929	8.929	0.2485	0.2271	134.3	0.7536	0.07889	0.0402	-0.06788	-0.000755	0.04046	352.4	148.8	200.4	3.199	2.071	2.212	1.099	0.4449	109	3.61
-34190	-157500	-36.96	-8.783	8.783	0.3958	1.451	317.6	124.6	85.4	278.1	39.47	158.2	108.4	39.21	49.78	28.31	1.014	-2.456	27.05	0.0002187	0	0	-6.701	-0.3233	0.7349	9.498	-0.1664	29.51	0.3924	0.2689	0.8757	0.1243	0.4981	0.3414	-34290	-156900	-40.18	-8.797	8.797	0.1001	1.066	-32200	-154400	-40.1	-8.858	8.858	0.3015	1.404	154.1	0.9117	0.4757	-0.1032	0.4644	0.002777	0.03662	542.5	358.6	180.6	3.219	2.107	2.133	1.44	0.4083	134	3.86
-28070	-136200	-3.797	-8.43	8.43	0.3392	0.01204	338.7	98.43	35.85	327.6	11.07	83.94	30.57	62.58	53.37	36.26	0.7099	0.875	42.29	7.3e-05	0	0	0.05592	-0.09911	1.448	25.96	-8.088	41.41	0.2906	0.1058	0.9673	0.03269	0.2478	0.09026	-28170	-135100	-1.007	-8.85	8.85	-0.05238	0.01715	-26850	-134300	-7.798	-8.596	8.596	0.2084	0.003	172.4	0.7593	0.0008741	5.551e-17	0.0002764	-0.0008292	0.04925	619.9	167.6	445.9	6.421	2.372	2.418	1.387	0.5366	145.1	4.46
-46260	-291400	-8.734	-8.365	8.365	0.6233	1.368	407.5	77.75	46.92	367.3	40.14	127.3	76.81	30.82	50.46	55.41	4.384	-4.138	45.57	0.0001566	0	0	-5.711	-0.2137	1.219	12.55	4.45	49.71	0.1908	0.1152	0.9015	0.09851	0.3123	0.1885	-46380	-288200	4.628	-9.261	9.261	0.09915	1.335	-43310	-286500	-12.87	-8.487	8.487	0.4435	1.221	230.8	0.8534	0.1592	0.1354	-0.08368	-0.004303	0.1557	1254	416.4	730.3	107.6	2.66	2.711	1.352	1.07	207.8	4.1
-45150	-226900	-58.99	-8.913	8.913	0.4909	1.818	357.7	141.6	62	287.7	69.91	186.6	81.75	79.56	104.9	87.94	9.689	-3.825	77.55	0.0001952	0	0	-2.314	-0.6752	0.825	48.74	0.5572	81.37	0.3958	0.1734	0.8045	0.1955	0.5219	0.2286	-45310	-225900	-60.26	-8.916	8.916	0.05665	1.788	-42390	-222900	-57.86	-9.036	9.036	0.3663	1.546	183.2	0.9678	0.6584	-0.5563	0.352	0.007819	0.03286	881.7	343.5	533.4	4.818	2.407	2.507	1.536	0.4545	157.2	3.88
-59320	-423700	-59.52	-8.639	8.639	0.513	1.382	460	37.54	26.6	453.1	6.864	47.41	33.6	10.94	13.81	96.31	1.426	-2.175	90.78	0.0002257	-6.217e-15	-6.217e-15	-2.755	-0.4904	1.791	33.34	2.8	92.96	0.08161	0.05783	0.9851	0.01492	0.1031	0.07304	-59500	-417400	-29.04	-9.107	9.107	-0.03943	1.339	-56320	-417200	-67.8	-8.708	8.708	0.3915	1.374	266.9	0.8749	0.4235	-0.1025	0.4109	0.002386	0.157	1742	700.8	930.3	110.9	2.812	2.58	1.896	1.022	251.9	5.78
-37120	-177200	-10.6	-9.03	9.03	0.3438	1.379	334.8	163.8	146.3	244.7	90.05	305.3	272.8	17.43	32.5	27.33	1.279	2.198	26.62	0.0002219	0	0	-7.192	-0.3105	1.152	4.956	-1.409	24.42	0.4891	0.4371	0.731	0.269	0.9119	0.8148	-37220	-176200	-11.58	-8.848	8.848	0.1525	1.22	-34900	-173600	-10.09	-9.112	9.112	0.232	1.265	168.1	0.9105	0.455	-0.1341	0.433	-0.03949	0.1066	689.3	356.4	263.8	69.14	2.267	2.216	1.334	0.7232	147.4	3.95
-20310	-62800	-61.55	-9.841	9.841	3.334	2.5	214.7	96.79	34.89	83.04	131.7	161.6	58.26	61.91	103.4	6.155	0.5149	7.163	9.312	0	0	0	-10.29	0.09555	0.4419	1.238	-4.209	2.149	0.4508	0.1625	0.3867	0.6133	0.7528	0.2713	-20420	-62700	-57.41	-10.4	10.4	3.317	2.357	-18480	-60600	-51.18	-9.405	9.405	3.019	2.403	95.13	0.9049	0.7346	-0.1776	-0.6194	-0.3528	0.2929	120.5	25.01	73.25	22.27	1.405	1.27	0.9074	0.6871	67.5	1.47
-20100	-81670	-26.03	-9.768	9.768	3.609	1.514	258.5	36.8	15.08	206.6	51.88	36.43	14.93	21.72	21.51	-2.769	0.459	2.753e-14	8.083	0	0	0	-3.686	-0.09037	0.6549	2.307	-11.88	8.083	0.1424	0.05834	0.7993	0.2007	0.141	0.05775	-20200	-81130	-20.16	-10.45	10.45	3.197	1.454	-18600	-79520	-23.68	-9.445	9.445	3.081	1.409	121.5	0.7699	0.3672	0.01422	-0.3667	0.01386	0.2153	196.5	77.04	92.31	27.15	1.639	1.584	1.017	0.7353	95	2.42
-22400	-83860	-74.2	-10.9	10.9	3.477	1.533	254	25.67	15.41	212.9	41.08	17.45	10.48	10.26	6.975	2.052	0.3804	2.665e-15	4.627	0	0	0	-4.621	-0.06854	0.5452	0.9967	-3.432	4.627	0.101	0.06066	0.8383	0.1617	0.06871	0.04125	-22520	-83400	-69.54	-11.2	11.2	3.185	1.383	-21280	-82430	-68.45	-11.06	11.06	3.231	1.473	117.7	0.8236	0.4616	0.1935	0.2528	0.3344	0.1718	196.6	75.31	96.74	24.58	1.629	1.653	0.9763	0.6852	90	1.31
-21750	-75510	-55.15	-10.54	10.54	0.8772	2.809	246.7	41.16	27.43	209.3	37.38	23.46	15.63	13.73	7.826	2.8	1.302	0	4.436	0.0005035	0	0	-5.434	0.2974	0.4915	2.32	-3.728	4.436	0.1668	0.1112	0.8485	0.1515	0.09509	0.06337	-21860	-75090	-54.04	-10.7	10.7	0.6783	2.448	-20560	-73910	-57.45	-10.66	10.66	0.8252	2.698	110.3	0.8559	0.7801	0.6809	-0.3806	-0.005536	0.116	183.7	76.13	102.8	4.746	1.596	1.766	0.8414	0.6016	84.25	1.35
-21070	-65240	-8.639	-10.19	10.19	1.618	1.523	254.4	74.27	70.47	109.6	144.7	80.21	76.11	3.791	4.094	1.875	0.4188	-0.2055	-0.01196	0	0	0	-7.905	-0.0438	1.004	1.367	0.5075	0.1935	0.292	0.2771	0.431	0.569	0.3153	0.2992	-21170	-65400	-16.35	-10.47	10.47	1.53	1.392	-19800	-63730	-6.05	-10.26	10.26	1.661	1.359	108.8	0.8483	0.4618	-0.3701	0.2761	0.00524	0.05511	259.6	177.4	79.02	3.152	1.924	2.268	0.6758	0.5325	82.62	3.84
