"SAMPLE_ID"	"TOX21_ID"	"CAS"	"PUBCHEM_SID"	"SAMPLE_NAME"	"PURITY_RATING"	"PURITY_RATING_4M"	"PUBCHEM_CID"	"LAST_MODIFIED"	"SMILES"
"NCGC00259241-01"	"Tox21_201692"	"3622-84-2"	144208890	"N-Butylbenzenesulfonamide"	"A"	"A"	"19241"	16-JAN-19 01.02.54.000000000 PM	"O=S(=O)(NCCCC)c1ccccc1"
"NCGC00259522-01"	"Tox21_201973"	"102-60-3"	144209171	"N,N,N',N'-Tetrakis(2-Hydroxypropyl)ethylenediamine"	"A"	"A"	"7615"	16-JAN-19 01.02.54.000000000 PM	"CC(O)CN(CC(C)O)CCN(CC(C)O)CC(C)O"
"NCGC00259563-01"	"Tox21_202014"	"79-92-5"	144209212	"Camphene"	"FNS"	""	"6616"	16-JAN-19 01.02.54.000000000 PM	"CC2(C)C(=C)C1CCC2C1"
"NCGC00260040-01"	"Tox21_202491"	"123-72-8"	144209689	"Butyraldehyde"	"Fns"	""	"261"	16-JAN-19 01.02.54.000000000 PM	"CCCC=O"
"NCGC00259363-01"	"Tox21_201814"	"54-11-5"	144209012	"Nicotine"	"A"	"A"	"89594"	16-JAN-19 01.02.54.000000000 PM	"CN2CCC[C@H]2c1cnccc1"
"NCGC00259984-01"	"Tox21_202435"	"99-08-1"	144209633	"3-Nitrotoluene"	"A"	"Ac"	"7422"	16-JAN-19 01.02.54.000000000 PM	"Cc1cc(ccc1)[N+](=O)[O-]"
"NCGC00259913-01"	"Tox21_202364"	"104-15-4"	144209562	"4-Methylbenzenesulfonic acid"	"A"	"A"	"6101"	16-JAN-19 01.02.54.000000000 PM	"Cc1ccc(cc1)S(O)(=O)=O"
"NCGC00260259-01"	"Tox21_202711"	"NOCAS_49390"	144209909	"1-Methyl-1-propylpyrrolidinium trifluoromethanesulfonate"	"A"	"A"	"60196396"	16-JAN-19 01.02.54.000000000 PM	"C[N+]1(CCC)CCCC1.FC(F)(F)S([O-])(=O)=O"
"NCGC00260378-01"	"Tox21_202832"	"41372-20-7"	144210030	"Apomorphine hydrochloride hydrate"	"A"	"A"	"107882"	16-JAN-19 01.02.54.000000000 PM	"Cl.Cl.O.Oc3ccc4C[C@@H]1c2c(cccc2CCN1C)c4c3O.Oc3ccc2C[C@@H]1c4c(CCN1C)cccc4c2c3O"
"NCGC00260621-01"	"Tox21_203076"	"NOCAS_49517"	144210274	"NTP Mix97 ER1 10-EQC"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00357093-01"	"Tox21_303814"	"2682-20-4"	251919715	"2-Methyl-3(2H)-isothiazolone"	"A"	""	"39800"	16-JAN-19 01.02.54.000000000 PM	"O=C1C=CSN1C"
"NCGC00357109-01"	"Tox21_303836"	"3118-97-6"	251919754	"C.I. Solvent Orange 7"	"A"	""	"5809936"	16-JAN-19 01.02.54.000000000 PM	"Cc3ccc(/N=N/c1c2ccccc2ccc1O)c(C)c3"
"NCGC00357116-01"	"Tox21_303846"	"144-74-1"	251919870	"Sulfathiazole sodium"	"A"	""	"12285822"	16-JAN-19 01.02.54.000000000 PM	"[Na+].O=S(=O)([N-]c1nccs1)c2ccc(N)cc2"
"NCGC00357254-01"	"Tox21_304047"	"3852-09-3"	251919899	"Methyl 3-methoxypropionate"	"A"	""	"19710"	16-JAN-19 01.02.54.000000000 PM	"O=C(OC)CCOC"
"NCGC00356976-01"	"Tox21_303753"	"3006-93-7"	251919791	"N,N'-1,3-Phenylenedimaleimide"	"Ac"	""	"18156"	16-JAN-19 01.02.54.000000000 PM	"O=C3C=CC(=O)N3c1cccc(c1)N2C(=O)C=CC2=O"
"NCGC00357166-01"	"Tox21_303918"	"96-54-8"	251919976	"1-Methylpyrrole"	"F"	""	"7304"	16-JAN-19 01.02.54.000000000 PM	"Cn1cccc1"
"NCGC00015385-12"	"Tox21_110133"	"58-32-2"	144203684	"Dipyridamole"	"A"	"A"	"3108"	16-JAN-19 01.02.54.000000000 PM	"OCCN(CCO)c2nc1c(nc(nc1c(n2)N3CCCCC3)N(CCO)CCO)N4CCCCC4"
"NCGC00015004-09"	"Tox21_110064"	"14028-44-5"	144203615	"Amoxapine"	"D"	""	"2170"	16-JAN-19 01.02.54.000000000 PM	"Clc1ccc2Oc4ccccc4N=C(c2c1)N3CCNCC3"
"NCGC00015754-08"	"Tox21_110213"	"63612-50-0"	144203764	"Nilutamide"	"A"	"A"	"4493"	16-JAN-19 01.02.54.000000000 PM	"FC(F)(F)c1cc(ccc1[N+]([O-])=O)N2C(=O)C(C)(C)NC2=O"
"NCGC00015760-06"	"Tox21_110215"	"104-14-3"	144203766	"Octopamine"	"A"	""	"4581"	16-JAN-19 01.02.54.000000000 PM	"OC(CN)c1ccc(O)cc1"
"NCGC00016373-03"	"Tox21_110403"	"121-54-0"	144203954	"Benzethonium chloride"	"A"	"A"	"8478"	16-JAN-19 01.02.54.000000000 PM	"[Cl-].CC(C)(C)CC(C)(C)c2ccc(OCCOCC[N+](C)(C)Cc1ccccc1)cc2"
"NCGC00016600-01"	"Tox21_110516"	"2030-63-9"	144204067	"Clofazimine"	"A"	"A"	"2794"	16-JAN-19 01.02.54.000000000 PM	"Clc1ccc(cc1)NC3=CC4=Nc2ccccc2N(C4=C\C3=N\C(C)C)c5ccc(Cl)cc5"
"NCGC00016494-01"	"Tox21_110455"	"532-59-2"	144204006	"Amylocaine hydrochloride"	"A"	"A"	"10766"	16-JAN-19 01.02.54.000000000 PM	"Cl.CN(C)CC(C)(OC(=O)c1ccccc1)CC"
"NCGC00016692-01"	"Tox21_110565"	"10457-90-6"	144204116	"Bromperidol"	"A"	"A"	"2448"	16-JAN-19 01.02.54.000000000 PM	"Fc1ccc(cc1)C(=O)CCCN2CCC(O)(CC2)c3ccc(Br)cc3"
"NCGC00017259-04"	"Tox21_110810"	"27848-84-6"	144204361	"Nicergoline"	"A"	"A"	"34040"	16-JAN-19 01.02.54.000000000 PM	"Brc1cc(cnc1)C(=O)OC[C@@H]3C[C@]4(OC)c5cccc2c5c(cn2C)C[C@H]4N(C)C3"
"NCGC00167467-01"	"Tox21_112471"	"50700-72-6"	144206024	"Vecuronium bromide"	"A"	"A"	"39764"	16-JAN-19 01.02.54.000000000 PM	"[Br-].C[N+]1(CCCCC1)[C@H]6C[C@@H]5[C@](C)(CC[C@H]2[C@H]5CC[C@H]3C[C@H](OC(C)=O)[C@H](C[C@]23C)N4CCCCC4)[C@H]6OC(C)=O"
"NCGC00167541-01"	"Tox21_112538"	"516-92-7"	144206091	"(3alpha,5beta)-Cholestan-3-ol"	"A"	"A"	"91465"	16-JAN-19 01.02.54.000000000 PM	"CC(C)CCC[C@@H](C)[C@H]4CC[C@@H]3[C@]4(C)CC[C@H]1[C@H]3CC[C@@H]2C[C@H](O)CC[C@]12C"
"NCGC00254579-01"	"Tox21_300671"	"2303-17-5"	144210988	"Tri-allate"	"A"	"Ac"	"5543"	16-JAN-19 01.02.54.000000000 PM	"Cl/C(Cl)=C(\Cl)CSC(=O)N(C(C)C)C(C)C"
"NCGC00255163-01"	"Tox21_302440"	"71-23-8"	144212757	"1-Propanol"	"A"	"Ac"	"1031"	16-JAN-19 01.02.54.000000000 PM	"CCCO"
"NCGC00255575-01"	"Tox21_301430"	"366-18-7"	144211747	"2,2'-Dipyridyl"	"A"	"Ac"	"1474"	16-JAN-19 01.02.54.000000000 PM	"c1nc(ccc1)c2ccccn2"
"NCGC00255770-01"	"Tox21_302064"	"13676-54-5"	144212381	"Bismaleimide"	"A"	"A"	"83648"	16-JAN-19 01.02.54.000000000 PM	"O=C1C=CC(=O)N1c2ccc(cc2)Cc3ccc(cc3)N4C(=O)C=CC4=O"
"NCGC00254365-01"	"Tox21_300603"	"99-66-1"	144210920	"Valproic acid"	"A"	"A"	"3121"	16-JAN-19 01.02.54.000000000 PM	"CCCC(CCC)C(=O)O"
"NCGC00255062-01"	"Tox21_301164"	"23950-58-5"	144211481	"Propyzamide"	"A"	"A"	"32154"	16-JAN-19 01.02.54.000000000 PM	"Clc1cc(cc(Cl)c1)C(=O)NC(C)(C)C#C"
"NCGC00254124-01"	"Tox21_300032"	"88-72-2"	144210352	"2-Nitrotoluene"	"AC"	"Ac"	"6944"	16-JAN-19 01.02.54.000000000 PM	"Cc1ccccc1[N+](=O)[O-]"
"NCGC00159517-02"	"Tox21_111735"	"82752-99-6"	144205288	"Nefazodone hydrochloride"	"A"	"A"	"54911"	16-JAN-19 01.02.54.000000000 PM	"Cl.Clc1cccc(c1)N4CCN(CCCN3N=C(CC)N(CCOc2ccccc2)C3=O)CC4"
"NCGC00160481-01"	"Tox21_111843"	"61570-90-9"	144205396	"Tioxidazole"	"A"	"A"	"72157"	16-JAN-19 01.02.54.000000000 PM	"O=C(OC)Nc1nc2ccc(cc2s1)OCCC"
"NCGC00164607-01"	"Tox21_112229"	"41748-47-4"	144205782	"Bentiromide sodium"	"A"	"A"	"23680486"	16-JAN-19 01.02.54.000000000 PM	"[Na+].Oc3ccc(C[C@H](NC(=O)c1ccccc1)C(=O)Nc2ccc(cc2)C([O-])=O)cc3"
"NCGC00168778-01"	"Tox21_112639"	"180468-39-7"	144206192	"Solifenacin hydrochloride"	"A"	"A"	"154058"	16-JAN-19 01.02.54.000000000 PM	"Cl.O=C(O[C@H]2CN1CCC2CC1)N4CCc5ccccc5[C@@H]4c3ccccc3"
"NCGC00183877-01"	"Tox21_113629"	"120373-24-2"	144207178	"Unoprostone isopropyl ester"	"A"	"A"	"5282175"	16-JAN-19 01.02.54.000000000 PM	"O[C@@H]1C[C@H](O)[C@H](C/C=C\CCCC(=O)OC(C)C)[C@H]1CCC(=O)CCCCCCC"
"NCGC00254071-01"	"Tox21_300254"	"NOCAS_47377"	144210574	"AVE6324"	"A"	"A"	"60196407"	16-JAN-19 01.02.54.000000000 PM	"Cl.Clc1ccc(s1)c5onc(Cn3c4ccc(cc4cc3C(=O)NC2CCN(CC2)C(C)C)C(=O)O[C@@H](C)OC(=O)OCC)c5"
"NCGC00259677-01"	"Tox21_202128"	"6807-17-6"	144209326	"4,4'-(4-Methylpentane-2,2-diyl)diphenol"	"A"	"A"	"81259"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(cc1)C(C)(CC(C)C)c2ccc(O)cc2"
"NCGC00260317-01"	"Tox21_202770"	"2825-82-3"	144209968	"Octahydro-exo-4,7-methano-1H-indene"	"Fns"	""	"12561739"	16-JAN-19 01.02.54.000000000 PM	"C2C[C@H]3[C@@H]1CC[C@H](C1)[C@H]3C2"
"NCGC00260671-01"	"Tox21_201511"	"115-86-6"	144208709	"Triphenyl phosphate"	"A"	"A"	"8289"	16-JAN-19 01.02.54.000000000 PM	"O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3"
"NCGC00015984-03"	"Tox21_110272"	"89565-68-4"	144203823	"Tropisetron"	"A"	"A"	"656665"	16-JAN-19 01.02.54.000000000 PM	"CN4[C@H]1CC[C@@H]4CC(C1)OC(=O)c3cnc2ccccc23"
"NCGC00016283-01"	"Tox21_110349"	"62-97-5"	144203900	"Diphemanil methylsulfate"	"A"	"A"	"6126"	16-JAN-19 01.02.54.000000000 PM	"[O-]S(=O)(=O)OC.C[N+]1(C)CC\C(CC1)=C(\c2ccccc2)c3ccccc3"
"NCGC00016925-06"	"Tox21_110686"	"73590-58-6"	144204237	"Omeprazole"	"A"	"D"	"4594"	16-JAN-19 01.02.54.000000000 PM	"Cc3c(OC)c(C)cnc3CS(=O)c1nc2cc(ccc2n1)OC"
"NCGC00025158-01"	"Tox21_113582"	"1217457-81-2"	144207131	"(S)-(+)-Dimethindene maleate"	"A"	"A"	"56972160"	16-JAN-19 01.02.54.000000000 PM	"C[C@@H](C=1c2ccccc2CC=1CCN(C)C)c3ccccn3.O=C(O)/C=C\C(=O)O"
"NCGC00091708-04"	"Tox21_111163"	"1343-78-8"	144204714	"Cochineal"	"A"	"A"	"10255083"	16-JAN-19 01.02.54.000000000 PM	"O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)c4c(O)c3C(=O)c2c(C)c(C(=O)O)c(O)cc2C(=O)c3c(O)c4O"
"NCGC00094894-01"	"Tox21_111353"	"3413-64-7"	144204906	"Mefexamide hydrochloride"	"A"	"A"	"3083802"	16-JAN-19 01.02.54.000000000 PM	"Cl.CCN(CC)CCNC(=O)COc1ccc(cc1)OC"
"NCGC00095002-01"	"Tox21_111383"	"90-80-2"	144204936	"Gluconolactone"	"A"	"F"	"7027"	16-JAN-19 01.02.54.000000000 PM	"O[C@H]1[C@H](O)[C@@H](O)C(=O)O[C@@H]1CO"
"NCGC00095156-01"	"Tox21_111456"	"6804-07-5"	144205009	"Carbadox"	"B"	"B"	"5353472"	16-JAN-19 01.02.54.000000000 PM	"O=C(OC)N\N=C\c2c[n+]([O-])c1ccccc1[n+]2[O-]"
"NCGC00160407-01"	"Tox21_111792"	"70374-39-9"	144205345	"Lornoxicam"	"A"	"A"	"17756939"	16-JAN-19 01.02.54.000000000 PM	"O=C2c1sc(Cl)cc1S(=O)(=O)N(C)C2C(=O)Nc3ccccn3"
"NCGC00160555-01"	"Tox21_111895"	"16915-70-1"	144205448	"Nifursol"	"A"	"F"	"9570327"	16-JAN-19 01.02.54.000000000 PM	"O=[N+]([O-])c2ccc(/C=N/NC(=O)c1cc(cc([N+]([O-])=O)c1O)[N+]([O-])=O)o2"
"NCGC00167442-01"	"Tox21_112446"	"106463-17-6"	144205999	"Tamsulosin hydrochloride"	"A"	"A"	"5362376"	16-JAN-19 01.02.54.000000000 PM	"Cl.O=S(N)(=O)c1cc(ccc1OC)C[C@@H](C)NCCOc2ccccc2OCC"
"NCGC00254065-01"	"Tox21_300099"	"110-05-4"	144210419	"Di-tert-butyl peroxide"	"FNS"	""	"8033"	16-JAN-19 01.02.54.000000000 PM	"CC(C)(C)OOC(C)(C)C"
"NCGC00090686-04"	"Tox21_110997"	"59-87-0"	144204548	"Nitrofurazone"	"A"	"A"	"5447130"	16-JAN-19 01.02.54.000000000 PM	"O=[N+]([O-])c1ccc(/C=N/NC(N)=O)o1"
"NCGC00017006-01"	"Tox21_110733"	"4310-35-4"	144204284	"Tridihexethyl chloride"	"A"	"A"	"20298"	16-JAN-19 01.02.54.000000000 PM	"[Cl-].OC(CC[N+](CC)(CC)CC)(c1ccccc1)C2CCCCC2"
"NCGC00017121-01"	"Tox21_110789"	"56974-61-9"	144204340	"Gabexate mesilate"	"A"	"A"	"6604561"	16-JAN-19 01.02.54.000000000 PM	"O=C(Oc1ccc(cc1)C(=O)OCC)CCCCCNC(=N)N.CS(=O)(=O)O"
"NCGC00017400-05"	"Tox21_110821"	"511-12-6"	144204372	"Dihydroergotamine"	"A"	"A"	"10531"	16-JAN-19 01.02.54.000000000 PM	"CN1C[C@@H](C[C@@H]2c3cccc4ncc(C[C@@H]12)c34)C(=O)N[C@]8(C)O[C@]7(O)N([C@@H](Cc5ccccc5)C(=O)N6CCC[C@H]67)C8=O"
"NCGC00022408-03"	"Tox21_113499"	"2002-29-1"	144207048	"Flumethasone pivalate"	"A"	"A"	"16158"	16-JAN-19 01.02.54.000000000 PM	"CC(C)(C)C(=O)OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]3C4(C)C[C@H](O)[C@@]2(F)C3C[C@H](F)C1=CC(=O)C=CC12C"
"NCGC00024599-02"	"Tox21_110911"	"1166-34-3"	144204462	"Cinanserin"	"A"	"A"	"5475158"	16-JAN-19 01.02.54.000000000 PM	"CN(C)CCCSc2ccccc2NC(=O)/C=C/c1ccccc1"
"NCGC00256911-01"	"Tox21_302476"	"58-56-0"	144212793	"Pyridoxine hydrochloride"	"A"	"A"	"6019"	16-JAN-19 01.02.54.000000000 PM	"Cl.Oc1c(CO)c(cnc1C)CO"
"NCGC00258377-01"	"Tox21_200823"	"90-13-1"	144208021	"1-Chloronaphthalene"	"A"	"Ac"	"7003"	16-JAN-19 01.02.54.000000000 PM	"Clc2cccc1ccccc12"
"NCGC00257416-01"	"Tox21_303439"	"122-62-3"	144213749	"Bis(2-ethylhexyl) decanedioate"	"A"	"Fns"	"31218"	16-JAN-19 01.02.54.000000000 PM	"O=C(CCCCCCCCC(=O)OCC(CC)CCCC)OCC(CCCC)CC"
"NCGC00257429-01"	"Tox21_303401"	"838-85-7"	144213712	"Diphenyl phosphate"	"A"	"Z"	"13282"	16-JAN-19 01.02.54.000000000 PM	"OP(=O)(Oc1ccccc1)Oc2ccccc2"
"NCGC00257553-01"	"Tox21_301300"	"153-94-6"	144211617	"d-Tryptophan"	"Ac"	"Ac"	"9060"	16-JAN-19 01.02.54.000000000 PM	"O=C(O)[C@H](N)Cc2cnc1ccccc12"
"NCGC00257717-01"	"Tox21_200163"	"628-13-7"	144207361	"Pyridine hydrochloride"	"A"	"D"	"10176127"	16-JAN-19 01.02.54.000000000 PM	"Cl.c1ccccn1"
"NCGC00257743-01"	"Tox21_200189"	"75-25-2"	144207387	"Bromoform"	"AC"	"A"	"5558"	16-JAN-19 01.02.54.000000000 PM	"BrC(Br)Br"
"NCGC00257932-01"	"Tox21_200378"	"94-25-7"	144207576	"Butyl 4-aminobenzoate"	"A"	"A"	"2482"	16-JAN-19 01.02.54.000000000 PM	"Nc1ccc(cc1)C(=O)OCCCC"
"NCGC00255719-01"	"Tox21_301429"	"465-73-6"	144211746	"Isodrin"	"A"	"A"	"60196420"	16-JAN-19 01.02.54.000000000 PM	"ClC3=C(Cl)[C@]4(Cl)[C@@H]2[C@@H]1C[C@H](C=C1)[C@@H]2[C@@]3(Cl)C4(Cl)Cl"
"NCGC00255868-01"	"Tox21_302045"	"926-39-6"	144212362	"2-Aminoethyl hydrogen sulfate"	"A"	""	"70223"	16-JAN-19 01.02.54.000000000 PM	"O=S(=O)(O)OCCN"
"NCGC00255889-01"	"Tox21_302069"	"591-80-0"	144212386	"4-Pentenoic acid"	"Ac"	""	"61138"	16-JAN-19 01.02.54.000000000 PM	"C=CCCC(=O)O"
"NCGC00255953-01"	"Tox21_302143"	"93-04-9"	144212460	"2-Methoxynaphthalene"	"A"	"A"	"7119"	16-JAN-19 01.02.54.000000000 PM	"COc1ccc2ccccc2c1"
"NCGC00255961-01"	"Tox21_301977"	"1729-67-5"	144212294	"Methyl 2,3-dibromopropionate"	"F"	"Fns"	"95428"	16-JAN-19 01.02.54.000000000 PM	"BrC(CBr)C(=O)OC"
"NCGC00256032-01"	"Tox21_301756"	"15362-40-0"	144212073	"1-(2,6-Dichlorophenyl)-2-indolinone"	"A"	"A"	"27211"	16-JAN-19 01.02.54.000000000 PM	"Clc1cccc(Cl)c1N2c3ccccc3CC2=O"
"NCGC00256109-01"	"Tox21_301782"	"2705-87-5"	144212099	"Prop-2-en-1-yl 3-cyclohexylpropanoate"	"A"	"Ac"	"17617"	16-JAN-19 01.02.54.000000000 PM	"O=C(CCC1CCCCC1)OCC=C"
"NCGC00256134-01"	"Tox21_301786"	"15901-40-3"	144212103	"N,N',N''-Tricyclohexyl-1-methylsilanetriamine"	"F"	"F"	"85178"	16-JAN-19 01.02.54.000000000 PM	"C[Si](NC1CCCCC1)(NC2CCCCC2)NC3CCCCC3"
"NCGC00256228-01"	"Tox21_301269"	"2896-70-0"	144211586	"(2,2,6,6-Tetramethyl-4-oxopiperidin-1-yl)oxidanyl"	"A"	"A"	"520789"	16-JAN-19 01.02.54.000000000 PM	"[O]N(C(C)(C)C1)C(C)(C)CC1=O"
"NCGC00256229-01"	"Tox21_301800"	"13047-13-7"	144212117	"4-(Hydroxymethyl)-4-methyl-1-phenylpyrazolidin-3-one"	"A"	"C"	"92238"	16-JAN-19 01.02.54.000000000 PM	"O=C1NN(CC1(C)CO)c2ccccc2"
"NCGC00256254-01"	"Tox21_301501"	"6928-67-2"	144211818	"Dipropyl 3,4,5,6-tetrachlorobenzene-1,2-dicarboxylate"	"A"	"A"	"81346"	16-JAN-19 01.02.54.000000000 PM	"Clc1c(c(c(Cl)c(Cl)c1Cl)C(=O)OCCC)C(=O)OCCC"
"NCGC00258794-01"	"Tox21_201242"	"96-17-3"	144208440	"2-Methylbutanal"	"FNS"	""	"7284"	16-JAN-19 01.02.54.000000000 PM	"CC(CC)C=O"
"NCGC00258855-01"	"Tox21_201303"	"2016-57-1"	144208501	"1-Decanamine"	"AC"	"Fc"	"8916"	16-JAN-19 01.02.54.000000000 PM	"CCCCCCCCCCN"
"NCGC00258897-01"	"Tox21_201345"	"1459-93-4"	144208543	"Dimethyl isophthalate"	"A"	"A"	"15088"	16-JAN-19 01.02.54.000000000 PM	"COC(=O)c1cccc(c1)C(=O)OC"
"NCGC00259001-01"	"Tox21_201450"	"52479-85-3"	144208648	"Exifone"	"A"	"A"	"40399"	16-JAN-19 01.02.54.000000000 PM	"Oc2ccc(C(=O)c1cc(O)c(O)c(O)c1)c(O)c2O"
"NCGC00259041-01"	"Tox21_201490"	"75-86-5"	144208688	"2-Hydroxy-2-methylpropanenitrile"	"A"	"Bc"	"6406"	16-JAN-19 01.02.54.000000000 PM	"N#CC(C)(C)O"
"NCGC00260564-01"	"Tox21_203019"	"NOCAS_49460"	144210217	"NTP Mix72 CT1 62-EQP"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00260620-01"	"Tox21_203075"	"NOCAS_49516"	144210273	"NTP Mix96 ER1 10-EQP"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00259479-01"	"Tox21_201930"	"103-90-2"	144209128	"Acetaminophen"	"A"	"A"	"1983"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(NC(C)=O)cc1"
"NCGC00259583-01"	"Tox21_202034"	"101-02-0"	144209232	"Triphenyl phosphite"	"FC"	"Ac"	"7540"	16-JAN-19 01.02.54.000000000 PM	"O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3"
"NCGC00259586-01"	"Tox21_202037"	"88-06-2"	144209235	"2,4,6-Trichlorophenol"	"A"	"A"	"6914"	16-JAN-19 01.02.54.000000000 PM	"Clc1cc(Cl)cc(Cl)c1O"
"NCGC00259712-01"	"Tox21_202163"	"108-19-0"	144209361	"Imidodicarbonic diamide"	"A"	""	"7913"	16-JAN-19 01.02.54.000000000 PM	"NC(=O)NC(N)=O"
"NCGC00259774-01"	"Tox21_202225"	"542-76-7"	144209423	"3-Chloropropionitrile"	"A"	"A"	"10963"	16-JAN-19 01.02.54.000000000 PM	"ClCCC#N"
"NCGC00259804-01"	"Tox21_202255"	"126-00-1"	144209453	"Diphenolic acid"	"A"	"A"	"67174"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(cc1)C(C)(CCC(=O)O)c2ccc(O)cc2"
"NCGC00259919-01"	"Tox21_202370"	"6959-48-4"	144209568	"3-(Chloromethyl)pyridine hydrochloride"	"D"	""	"23394"	16-JAN-19 01.02.54.000000000 PM	"Cl.ClCc1cccnc1"
"NCGC00259982-01"	"Tox21_202433"	"97-54-1"	144209631	"Isoeugenol"	"A"	"A"	"7338"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(cc1OC)C=CC"
"NCGC00260051-01"	"Tox21_202502"	"1277-43-6"	144209700	"Cobaltocene"	"Fc"	""	"92884"	16-JAN-19 01.02.54.000000000 PM	"[Co+2].[c-]1cccc1.c1[c-]ccc1"
"NCGC00254962-01"	"Tox21_301060"	"82-68-8"	144211377	"Pentachloronitrobenzene"	""	""	"6720"	16-JAN-19 01.02.54.000000000 PM	"Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)[N+]([O-])=O"
"NCGC00255468-01"	"Tox21_302051"	"89-00-9"	144212368	"2,3-Pyridinedicarboxylic acid"	"A"	"A"	"1066"	16-JAN-19 01.02.54.000000000 PM	"OC(=O)c1ncccc1C(=O)O"
"NCGC00255584-01"	"Tox21_301942"	"1444-64-0"	144212259	"2-Phenylcyclohexanol"	"D"	"A"	"15046"	16-JAN-19 01.02.54.000000000 PM	"OC2CCCCC2c1ccccc1"
"NCGC00255610-01"	"Tox21_301279"	"7579-36-4"	144211596	"Dibenzyl oxalate"	"A"	"A"	"82058"	16-JAN-19 01.02.54.000000000 PM	"O=C(OCc1ccccc1)C(=O)OCc2ccccc2"
"NCGC00255732-01"	"Tox21_301349"	"138-22-7"	144211666	"Butyl lactate"	"A"	"A"	"8738"	16-JAN-19 01.02.54.000000000 PM	"OC(C)C(=O)OCCCC"
"NCGC00254526-01"	"Tox21_300508"	"98-95-3"	144210826	"Nitrobenzene"	"A"	"Ac"	"7416"	16-JAN-19 01.02.54.000000000 PM	"[O-][N+](=O)c1ccccc1"
"NCGC00093569-01"	"Tox21_111209"	"2079-89-2"	144204760	"3-Aminopropionitrile fumarate"	"W"	""	"5462653"	16-JAN-19 01.02.54.000000000 PM	"NCCC#N.O=C(O)/C=C/C(=O)O.N#CCCN"
"NCGC00093644-01"	"Tox21_111212"	"54301-15-4"	144204763	"Amsacrine"	"A"	"B"	"148673"	16-JAN-19 01.02.54.000000000 PM	"Cl.CS(=O)(=O)Nc4ccc(Nc1c3ccccc3nc2ccccc12)c(OC)c4"
"NCGC00094104-01"	"Tox21_111247"	"77257-42-2"	144204798	"Stilonium iodide"	"A"	"A"	"6433339"	16-JAN-19 01.02.54.000000000 PM	"[I-].CC[N+](CCOc1ccc(cc1)/C=C/c2ccccc2)(CC)CC"
"NCGC00159466-02"	"Tox21_111692"	"28981-97-7"	144205245	"Alprazolam"	"A"	"A"	"2118"	16-JAN-19 01.02.54.000000000 PM	"Clc1cc2C(=NCc3nnc(C)n3c2cc1)c4ccccc4"
"NCGC00164339-02"	"Tox21_112102"	"102-60-3"	144205655	"N,N,N',N'-Tetrakis(2-Hydroxypropyl)ethylenediamine"	"A"	"A"	"7615"	16-JAN-19 01.02.54.000000000 PM	"CC(O)CN(CC(C)O)CCN(CC(C)O)CC(C)O"
"NCGC00164357-01"	"Tox21_112104"	"50-81-7"	144205657	"L-Ascorbic acid"	"D"	""	"54670067"	16-JAN-19 01.02.54.000000000 PM	"OC=1C(=O)O[C@H]([C@@H](O)CO)C=1O"
"NCGC00164502-01"	"Tox21_112140"	"3270-71-1"	144205693	"Nifuraldezone"	"F"	""	"18637"	16-JAN-19 01.02.54.000000000 PM	"O=[N+]([O-])c1ccc(/C=N/NC(=O)C(N)=O)o1"
"NCGC00167586-01"	"Tox21_112578"	"68890-66-4"	144206131	"Piroctone olamine"	"Fc"	""	"60196297"	16-JAN-19 01.02.54.000000000 PM	"CC=1C=C(CC(C)CC(C)(C)C)N(O)C(=O)C=1.NCCCO"
"NCGC00181305-01"	"Tox21_112780"	"18917-95-8"	144206333	"Magnesium salicylate tetrahydrate"	"F"	"A"	"3045402"	16-JAN-19 01.02.54.000000000 PM	"O.O.O.O.O=C3O[Mg]2(Oc1ccccc1C(=O)O2)Oc4ccccc34"
"NCGC00095098-01"	"Tox21_111421"	"29767-20-2"	144204974	"Teniposide"	"A"	"A"	"5284623"	16-JAN-19 01.02.54.000000000 PM	"COc1cc(cc(OC)c1O)[C@@H]6c2cc8OCOc8cc2C(O[C@@H]4O[C@@H]3COC(O[C@H]3[C@H](O)[C@H]4O)c5cccs5)C7COC(=O)[C@H]67"
"NCGC00164568-01"	"Tox21_112197"	"151767-02-1"	144205750	"Montelukast sodium"	"A"	"B"	"23663996"	16-JAN-19 01.02.54.000000000 PM	"[Na+].CC(C)(O)c5ccccc5CC[C@@H](SCC1(CC([O-])=O)CC1)c2cccc(c2)/C=C/c3ccc4ccc(Cl)cc4n3"
