condition_concept_name	organ_type
Recall phenomenon	
Subcutaneous emphysema	
Haemosiderosis	
Transfusion-related acute lung injury	
Bladder perforation	
Complications of transplanted kidney	
Post procedural urine leak	
Renal graft loss	
Urinoma	
Toxic induced encephalopathy	
Intracranial injury	
Injury asphyxiation	
Skin abrasion	
Polytraumatism	
Extra dose administered	
Cardiac murmur functional	
Heart sounds abnormal	Cardiac
Atrial pressure increased	
Cardiac function test abnormal	Cardiac
Cardiac output decreased	
Cardiac stress test abnormal	Cardiac
Central venous pressure decreased	
Echocardiogram abnormal	Cardiac
Ejection fraction	
Arteriogram coronary abnormal	
Cardiac ventriculogram	
Catheterisation cardiac abnormal	
ECG signs of ventricular hypertrophy	Cardiac
Electrocardiogram PR prolongation	
Electrocardiogram Q wave abnormal	Cardiac
Electrocardiogram Q waves	
Electrocardiogram QRS complex prolonged	
Electrocardiogram QRS complex shortened	
Electrocardiogram QT interval abnormal	Cardiac
Electrocardiogram QT prolonged	
Electrocardiogram R on T phenomenon	
Electrocardiogram ST segment abnormal	Cardiac
Electrocardiogram ST segment depression	
Electrocardiogram ST segment elevation	
Electrocardiogram ST-T change	
Electrocardiogram ST-T segment abnormal	Cardiac
Electrocardiogram ST-T segment depression	
Electrocardiogram ST-T segment elevation	
Electrocardiogram T wave amplitude decreased	
Electrocardiogram T wave amplitude increased	
Electrocardiogram T wave peaked	
Electrocardiogram ambulatory abnormal	Cardiac
Electrocardiogram change	
Electrocardiogram poor R-wave progression	
Electrocardiogram repolarisation abnormality	Cardiac
QRS axis abnormal	Cardiac
Carotid pulse decreased	
Gallop rhythm present	
Pedal pulse abnormal	
Pulse absent	
Pulse pressure decreased	
Pulse pressure increased	
Sinus rhythm	
Aortic bruit	
Carotid bruit	
Angiogram	
Angiogram abnormal	
Arterial catheterisation	
Carotid intima-media thickness increased	
Blood pressure	
Blood pressure diastolic abnormal	
Blood pressure diastolic decreased	
Blood pressure diastolic increased	
Blood pressure immeasurable	
Blood pressure orthostatic	
Blood pressure systolic decreased	
Blood pressure systolic increased	
Haemodynamic test abnormal	
Pulmonary arterial pressure increased	
Venous pressure increased	
Gene mutation identification test positive	
Blood aldosterone increased	
Blood catecholamines increased	
Epinephrine increased	
Blood insulin abnormal	
Blood insulin increased	
Blood parathyroid hormone increased	
Blood corticotrophin decreased	
Blood growth hormone increased	
Blood thyroid stimulating hormone abnormal	
Blood thyroid stimulating hormone decreased	
Blood antidiuretic hormone increased	
Thyroxine abnormal	
Thyroxine free increased	
Thyroxine increased	
Tri-iodothyronine free decreased	
Beta-N-acetyl-D-glucosaminidase increased	
Aldolase increased	
Blood creatine phosphokinase MB	
Blood creatine phosphokinase abnormal	
Cardiac enzymes increased	
Muscle enzyme increased	
Troponin I increased	
Troponin T increased	
Troponin increased	
Angiotensin converting enzyme increased	
Blood alkaline phosphatase	
Blood alkaline phosphatase abnormal	
Blood alkaline phosphatase decreased	
Blood lactate dehydrogenase abnormal	
Blood lactate dehydrogenase decreased	
Glutamate dehydrogenase increased	
Foetal heart rate abnormal	
Foetal heart rate decreased	
Ultrasound antenatal screen abnormal	
Blood amylase decreased	
Lipase decreased	
Pancreatic enzymes increased	
Occult blood	
Occult blood positive	
Stool analysis abnormal	
Colonoscopy	
Colonoscopy abnormal	
Computerised tomogram abdomen abnormal	
Endoscopy upper gastrointestinal tract	
Endoscopy upper gastrointestinal tract abnormal	
Ultrasound abdomen abnormal	
X-ray gastrointestinal tract abnormal	
Biopsy colon abnormal	
Peritoneal fluid analysis abnormal	
Full blood count abnormal	
Full blood count decreased	
Full blood count increased	
Aspiration bone marrow	
Aspiration bone marrow abnormal	
Biopsy bone marrow abnormal	
Biopsy lymph gland	
Megakaryocytes increased	
Lymph nodes scan abnormal	
Activated partial thromboplastin time abnormal	
Activated partial thromboplastin time shortened	
Bleeding time prolonged	
Blood fibrinogen decreased	
Capillary permeability increased	
Coagulation factor V level decreased	
Coagulation factor VII level decreased	
Coagulation factor decreased	
Coagulation factor increased	
Coagulation test abnormal	
Fibrin degradation products increased	
International normalised ratio	
International normalised ratio fluctuation	
Kaolin cephalin clotting time prolonged	
Prothrombin level decreased	
Prothrombin level increased	
Prothrombin time abnormal	
Prothrombin time ratio decreased	
Prothrombin time shortened	
Thrombin time prolonged	
Anti-erythropoietin antibody negative	
Anti-erythropoietin antibody positive	
Blast cell count increased	
Blast cells present	
Blood erythropoietin increased	
Platelet aggregation increased	
Platelet count abnormal	
Haematocrit abnormal	
Haematocrit increased	
Haemoglobin abnormal	
Mean cell haemoglobin concentration increased	
Mean cell haemoglobin decreased	
Mean cell haemoglobin increased	
Mean cell volume abnormal	
Mean cell volume decreased	
Mean cell volume increased	
Red blood cell count abnormal	
Red blood cell morphology abnormal	
Reticulocyte count increased	
B-lymphocyte count decreased	
Band neutrophil count increased	
Basophil count decreased	
Basophil count increased	
Basophil percentage decreased	
CD4/CD8 ratio decreased	
Differential white blood cell count abnormal	
Eosinophil count abnormal	
Eosinophil count decreased	
Eosinophil percentage decreased	
Eosinophil percentage increased	
Granulocyte count decreased	
Granulocyte count increased	
Lymphocyte morphology abnormal	
Lymphocyte percentage abnormal	
Lymphocyte percentage decreased	
Lymphocyte stimulation test	
Lymphocyte stimulation test negative	
Lymphocyte stimulation test positive	
Metamyelocyte count increased	
Monocyte count decreased	
Monocyte count increased	
Monocyte percentage increased	
Myelocyte count increased	
Neutrophil count abnormal	
Neutrophil percentage decreased	
Neutrophil percentage increased	
Shift to the left	
White blood cell count	
White blood cell count abnormal	
White blood cell count decreased	
Biopsy liver	
Biopsy liver abnormal	Hepatic
Endoscopic retrograde cholangiopancreatography	
Liver scan abnormal	Hepatic
Ultrasound liver abnormal	Hepatic
Alanine aminotransferase decreased	
Ammonia increased	
Aspartate aminotransferase	
Aspartate aminotransferase decreased	
Bilirubin conjugated increased	
Blood bilirubin abnormal	
Blood bilirubin unconjugated increased	
Blood cholinesterase decreased	
Blood cholinesterase increased	
Gamma-glutamyltransferase	
Gamma-glutamyltransferase abnormal	
Gamma-glutamyltransferase decreased	
Hepatic enzyme abnormal	Hepatic
Total bile acids increased	
Transaminases abnormal	
Urine bilirubin increased	
Urobilin urine present	
Anti-SS-A antibody positive	
Anti-SS-B antibody positive	
Anti-insulin antibody	
Anti-insulin antibody increased	
Anti-insulin antibody positive	
Anti-platelet antibody negative	
Anti-platelet antibody positive	
Antimitochondrial antibody positive	
Antineutrophil cytoplasmic antibody positive	
Antiphospholipid antibodies positive	
Autoantibody positive	
Cardiolipin antibody positive	
DNA antibody positive	
Rheumatoid factor increased	
Rheumatoid factor positive	
Smooth muscle antibody positive	
Carbohydrate antigen 15-3 increased	
Carcinoembryonic antigen increased	
Cell marker increased	
Prostatic specific antigen abnormal	
Prostatic specific antigen increased	
Tumour marker increased	
Complement factor C4 decreased	
Complement factor decreased	
Interleukin level increased	
Antigliadin antibody positive	
Blood immunoglobulin A decreased	
Blood immunoglobulin A increased	
Blood immunoglobulin E increased	
Blood immunoglobulin G decreased	
Blood immunoglobulin G increased	
Blood immunoglobulin M decreased	
Immunoglobulins abnormal	
Immunoglobulins decreased	
Immunoglobulins increased	
Antibody test abnormal	
Antibody test positive	
Immune complex level increased	
Non-neutralising antibodies positive	
Skin test negative	
Skin test positive	
Biopsy site unspecified abnormal	
Blood smear test abnormal	
Smear site unspecified abnormal	
Computerised tomogram	
Endoscopy	
Endoscopy abnormal	
Nuclear magnetic resonance imaging	
Radioisotope scan abnormal	
Scan abnormal	
X-ray abnormal	
Blood test abnormal	
Laboratory test interference	
Paracentesis	
Blood cholesterol	
Blood cholesterol abnormal	
High density lipoprotein increased	
Low density lipoprotein decreased	
Total cholesterol/HDL ratio decreased	
Apolipoprotein A-I decreased	
Lipids abnormal	
Blood triglycerides	
Base excess	
Base excess increased	
Base excess negative	
Blood gases abnormal	
Blood lactic acid	
Blood lactic acid decreased	
Blood pH increased	
Carbon dioxide decreased	
Carbon dioxide increased	
Oxygen consumption decreased	
Oxygen saturation abnormal	
PCO2 increased	
PO2 decreased	
PO2 increased	
Blood glucose	
Fructosamine increased	
Glucose tolerance increased	
Glycosylated haemoglobin	
Glycosylated haemoglobin decreased	
Haptoglobin abnormal	
Haptoglobin decreased	
Blood homocysteine increased	
Blood ketone body increased	
Blood pyruvic acid increased	
Blood uric acid abnormal	
Blood uric acid decreased	
Blood uric acid increased	
Brain natriuretic peptide increased	
Urine ketone body	
Vitamin B1 increased	
Vitamin B6 decreased	
Bacteria sputum identified	
Bacteria stool identified	
Bacteria urine	
Bacteria urine identified	
Bacterial test	
Bacterial test positive	
Clostridium difficile toxin test positive	
Helicobacter pylori identification test positive	
Mycoplasma serology positive	
Blood beta-D-glucan increased	
Blood culture positive	
Catheter culture positive	
Culture positive	
Culture stool positive	
Culture urine positive	
Sputum culture positive	
Tuberculin test positive	
Cytomegalovirus antibody positive	
Cytomegalovirus antigen positive	
Cytomegalovirus test positive	
Epstein-Barr virus antibody positive	
Epstein-Barr virus antigen positive	
Epstein-Barr virus test positive	
Hepatitis A antibody positive	
Hepatitis B antibody positive	
Hepatitis B surface antigen positive	
Hepatitis C RNA increased	
Hepatitis C antibody positive	
Human herpes virus 6 serology positive	
JC virus test positive	
Parvovirus B19 serology positive	
Rotavirus test positive	
Rubella antibody positive	
Bone resorption test abnormal	
Biopsy bone abnormal	
Biopsy muscle abnormal	
Synovial fluid crystal	
Bone density abnormal	
Bone scan abnormal	
Face and mouth X-ray abnormal	
Spinal X-ray abnormal	
Myoglobin blood increased	
Myoglobin urine	
Myoglobin urine present	
CSF cell count increased	
CSF immunoglobulin increased	
CSF protein increased	
CSF test abnormal	
Brain stem auditory evoked response abnormal	
Electromyogram abnormal	
Glasgow coma scale abnormal	
Lumbar puncture	
Lumbar puncture abnormal	
Nerve conduction studies abnormal	
Sensory level abnormal	
Intraocular pressure decreased	
Intraocular pressure fluctuation	
Body height below normal	
Body height decreased	
Body mass index decreased	
Body temperature decreased	
Body temperature fluctuation	
Body temperature increased	
General physical condition abnormal	
Grip strength decreased	
Head circumference abnormal	
Lymph node palpable	
Neurological examination abnormal	
Nutritional condition abnormal	
Ophthalmological examination abnormal	
Physical examination abnormal	
Prostate examination abnormal	
Respiratory rate decreased	
Skin turgor decreased	
Vital functions abnormal	
Weight abnormal	
Renin decreased	
Renin increased	
Albumin globulin ratio decreased	
Alpha 1 foetoprotein increased	
Alpha 1 globulin increased	
Alpha 2 globulin increased	
Amino acid level increased	
Beta 2 microglobulin increased	
Beta 2 microglobulin urine increased	
Blood albumin increased	
Blood amino acid level increased	
Blood chromogranin A increased	
C-reactive protein	
C-reactive protein abnormal	
C-reactive protein decreased	
Electrophoresis protein abnormal	
Globulins increased	
Procalcitonin increased	
Protein albumin ratio decreased	
Protein total	
Protein total abnormal	
Protein total increased	
Surfactant protein increased	
Zinc sulphate turbidity increased	
Blood creatine abnormal	
Blood creatine decreased	
Blood creatine increased	
Blood creatinine abnormal	
Blood creatinine decreased	
Blood urea abnormal	
Blood urea nitrogen/creatinine ratio increased	
Creatinine renal clearance abnormal	
Creatinine renal clearance decreased	
Creatinine renal clearance increased	
Glomerular filtration rate abnormal	
Glomerular filtration rate decreased	
Glomerular filtration rate increased	
Urine albumin/creatinine ratio increased	
Urine protein/creatinine ratio increased	
Albumin urine present	
Cells in urine	
Crystal urine present	
Glucose urine present	
Protein urine	
Protein urine absent	
Red blood cells urine positive	
Urea urine increased	
Urinary casts	
Urinary casts present	
Urinary nitrogen increased	
Urinary sediment abnormal	
Urinary sediment present	
Urine analysis abnormal	
Urine colour abnormal	
Urine leukocyte esterase positive	
Urine phosphate increased	
Urine potassium decreased	
Urine potassium increased	
Urine sodium decreased	
Urine sodium increased	
Urine uric acid increased	
White blood cells urine	
White blood cells urine positive	
pH urine decreased	
Urine output increased	
Biopsy kidney abnormal	
Ultrasound kidney abnormal	
Semen volume decreased	
Sperm count decreased	
Carbon monoxide diffusing capacity decreased	
Forced expiratory volume decreased	
Functional residual capacity decreased	
Peak expiratory flow rate abnormal	
Peak expiratory flow rate decreased	
Pulmonary function test abnormal	Pulmonary
Total lung capacity decreased	
Vital capacity decreased	
Aspiration bronchial	
Aspiration pleural cavity	
Bronchoalveolar lavage	
Bronchoalveolar lavage abnormal	
Sputum abnormal	
Chest X-ray abnormal	
Computerised tomogram thorax abnormal	
Biopsy skin abnormal	
Analgesic drug level above therapeutic	
Anticonvulsant drug level decreased	
Antidepressant drug level increased	
Antipsychotic drug level above therapeutic	
Cardioactive drug level above therapeutic	
Cardioactive drug level below therapeutic	
Cardioactive drug level decreased	
Cardioactive drug level increased	
Drug level	
Drug level above therapeutic	
Drug level below therapeutic	
Drug level fluctuating	
Drug specific antibody present	
Immunosuppressant drug level increased	
Blood alcohol increased	
Blood ethanol increased	
Blood methanol increased	
Drug screen negative	
Blood bicarbonate increased	
Blood calcium abnormal	
Blood chloride decreased	
Blood copper increased	
Blood iron increased	
Blood magnesium decreased	
Blood phosphorus decreased	
Blood phosphorus increased	
Blood sodium abnormal	
Blood sodium increased	
Calcium ionised decreased	
Calcium ionised increased	
Iron binding capacity total decreased	
Iron binding capacity unsaturated decreased	
Serum ferritin increased	
Transferrin decreased	
Transferrin saturation decreased	
Transferrin saturation increased	
Urine chloride increased	
Blood electrolytes abnormal	
Blood electrolytes decreased	
Blood osmolarity decreased	
Urine osmolarity decreased	
Urine osmolarity increased	
Electrocardiogram QT corrected interval prolonged	
Faecal occult blood positive	
Hepatitis B virus	
Hepatitis C virus	
Urinary occult blood positive	
Hyperlactacidaemia	
Ketoacidosis	
Ketosis	
Lactic acidosis	
Renal tubular acidosis	Renal
Metabolic alkalosis	
Acid-base balance disorder mixed	
Hypercapnia	
Hypercapnic encephalopathy	
Neonatal respiratory acidosis	
Respiratory acidosis	
Respiratory alkalosis	
Bulimia nervosa	
Sleep-related eating disorder	
Abnormal weight gain	
Cachexia	
Marasmus	
Overweight	
Weight fluctuation	
Weight gain poor	
Weight loss poor	
Osteolysis	
Osteomalacia	
Osteoporosis postmenopausal	
Renal osteodystrophy	
Resorption bone increased	
Calciphylaxis	
Chondrocalcinosis pyrophosphate	
Hypermagnesaemia	
Hypomagnesaemia	
Hyperphosphataemia	
Hypophosphataemia	
Nephrogenic diabetes insipidus	
Hyperchloraemia	
Hypochloraemia	
Blood hyposmosis	
Electrolyte depletion	
Renal salt-wasting syndrome	
Tumour lysis syndrome	
Oligodipsia	
Hypernatraemia	
Hyponatraemic encephalopathy	
Hyponatraemic syndrome	
Shock haemorrhagic	
Food intolerance	
Iron deficiency	
Mineral deficiency	
Hypertriglyceridaemia	
Body fat disorder	
Dyslipidaemia	
Facial wasting	
Hypocholesterolaemia	
Lipid metabolism disorder	
Lipoatrophy	
Lipodystrophy acquired	
Lipomatosis	
Xanthelasma	
Mitochondrial cytopathy	
Hyperamylasaemia	
Hypercreatinaemia	
Hypercreatininaemia	
Hyperlipasaemia	
Metabolic disorder	
Metabolic encephalopathy	
Fanconi syndrome acquired	
Hyperammonaemic encephalopathy	
Hyperproteinaemia	
Uraemic encephalopathy	
Gout	
Gouty arthritis	
Hyperuricaemia	
Hypouricaemia	
Vitamin K deficiency	
Hypovitaminosis	
Folate deficiency	
Vitamin B12 deficiency	
Vitamin B6 deficiency	
Bone development abnormal	
Bone erosion	
Bone fistula	
Bone lesion	
Dental alveolar anomaly	
Jaw cyst	
Jaw disorder	
Oral torus	
Osteitis	
Osteonecrosis	
Periostitis	
Primary sequestrum	
Coccydynia	
Collagen disorder	
Connective tissue disorder	
Monarthritis	
Neuropathic arthropathy	
Polyarthritis	
Seronegative arthritis	
Chondrocalcinosis	
Facet joint syndrome	
Joint ankylosis	
Joint contracture	
Patellofemoral pain syndrome	
Periarthritis	
Periarticular disorder	
Joint effusion	
Joint warmth	
Spondylitis	
Spondyloarthropathy	
Muscle haemorrhage	
Muscle hypertrophy	
Muscle mass	
Muscle swelling	
Myosclerosis	
Neuromyopathy	
Periodic limb movement disorder	
Cogwheel rigidity	
Hypotonia neonatal	
Muscle spasticity	
Nuchal rigidity	
Pelvic floor muscle weakness	
Myasthenic syndrome	
Amyotrophy	
Compartment syndrome	
Muscle necrosis	
Hand deformity	
Knee deformity	
Limb deformity	
Intervertebral disc compression	
Intervertebral disc displacement	
Intervertebral disc space narrowing	
Cranial sutures widening	
Delayed fontanelle closure	
Head deformity	
Cervical spinal stenosis	
Kyphoscoliosis	
Kyphosis	
Lordosis	
Lumbar spinal stenosis	
Neck deformity	
Spinal column stenosis	
Spondylolisthesis	
Deformity thorax	
Rib deformity	
Dupuytren's contracture	
Fasciitis	
Extremity contracture	
Growth retardation	
Lower extremity mass	
Muscle contracture	
Nodule on extremity	
Posture abnormal	
Upper extremity mass	
Fluctuance	
Neck mass	
Soft tissue haemorrhage	
Soft tissue necrosis	
Angiolipoma	
Angiomyolipoma	
Fibroma	
Bone cancer metastatic	
Bone neoplasm malignant	
Leiomyosarcoma	
Liposarcoma	
Metastases to muscle	
Metastases to spine	
Osteosarcoma metastatic	
Rhabdomyosarcoma	
Bone neoplasm	
Bursa disorder	
Synovial cyst	
Chondrolysis	
Chondropathy	
Osteochondrosis	
Ligament disorder	
Enthesopathy	
Tendon calcification	
Tendon pain	
Tenosynovitis	
Trigger finger	
Vertebral osteophyte	
Localised osteoarthritis	
Polymyalgia	
Night cramps	
Toe deformity	
Chest wall pain	
Shoulder pain	
Buttock pain	
Breast cancer male	
Breast cancer recurrent	
Breast cancer stage III	
Breast cancer stage IV	
Inflammatory carcinoma of the breast	
Breast neoplasm	
Dermal cyst	
Acrochordon	
Haemangioma of skin	
Melanocytic naevus	
Seborrhoeic keratosis	
Mesothelioma	
Pleural mesothelioma malignant	
Metastases to bladder	
Metastases to kidney	
Metastases to meninges	
Metastases to pleura	
Metastases to skin	
Metastases to the mediastinum	
Metastases to uterus	
Metastasis	
Benign neoplasm	
Papilloma	
Angiosarcoma	
Adenocarcinoma	
Carcinoma in situ	
Head and neck cancer	
Metastatic neoplasm	
Recurrent cancer	
Small cell carcinoma	
Tumour invasion	
Neoplasm progression	
Cancer pain	
Fungating wound	
Intracranial tumour haemorrhage	
Malignant pleural effusion	
Obstructive uropathy	
Trousseau's syndrome	
Tumour associated fever	
Tumour embolism	
Tumour flare	
Tumour necrosis	
Arachnoid cyst	
Cerebral cyst	
Neurofibroma	
Morton's neuroma	
Brain cancer metastatic	
Brain neoplasm malignant	
Glioblastoma	
Glioblastoma multiforme	
Astrocytoma	
Meningioma	
Oligodendroglioma	
Spinal cord neoplasm	
Renal cyst ruptured	
Bladder cyst	
Bladder papilloma	
Urinary bladder polyp	
Bladder cancer	
Bladder cancer recurrent	
Bladder transitional cell carcinoma	
Metastatic renal cell carcinoma	Renal
Renal cancer	Renal
Renal cancer metastatic	Renal
Renal cancer stage IV	Renal
Renal cell carcinoma	Renal
Renal cell carcinoma stage III	Renal
Renal cell carcinoma stage IV	Renal
Malignant neoplasm of renal pelvis	Renal
Transitional cell cancer of the renal pelvis and ureter	
Ureteric cancer	
Transitional cell carcinoma	
Bladder neoplasm	
Vaginal cyst	
Endometrial cancer stage I	
Endometrial cancer stage III	
Ovarian neoplasm	
Metastatic uterine cancer	
Uterine cancer	
Vaginal cancer	
Vulval cancer	
Prostate cancer	
Prostate cancer metastatic	
Prostate cancer recurrent	
Prostate cancer stage II	
Prostate cancer stage IV	
Testicular seminoma (pure)	
Testis cancer	
Nasal polyps	
Sinus polyp	
Vocal cord polyp	
Hypopharyngeal cancer	
Laryngeal cancer	
Malignant mediastinal neoplasm	
Lung adenocarcinoma	Pulmonary
Lung adenocarcinoma metastatic	Pulmonary
Lung adenocarcinoma stage III	Pulmonary
Lung adenocarcinoma stage IV	Pulmonary
Lung squamous cell carcinoma stage unspecified	Pulmonary
Non-small cell lung cancer	Pulmonary
Non-small cell lung cancer metastatic	Pulmonary
Non-small cell lung cancer stage IV	Pulmonary
Nasal neoplasm	
Nasal sinus cancer	
Pharyngeal cancer stage unspecified	
Lung neoplasm	Pulmonary
Bronchial carcinoma	
Lung carcinoma cell type unspecified recurrent	Pulmonary
Lung carcinoma cell type unspecified stage IV	Pulmonary
Metastatic bronchial carcinoma	
Throat cancer	
Small cell lung cancer stage unspecified	Pulmonary
Bowen's disease	
Neoplasm skin	
Skin cancer	
Squamous cell carcinoma of skin	
Clear cell carcinoma of the kidney	Renal
Renal cell carcinoma stage unspecified	Renal
Gliosis	
Encephalitis	
Myelitis transverse	
Carotid artery aneurysm	
Intracranial aneurysm	
Basal ganglia haemorrhage	
Basal ganglia infarction	
Basilar artery occlusion	
Brain stem infarction	
Brain stem ischaemia	
Brain stem stroke	
Carotid arterial embolus	
Carotid artery occlusion	
Carotid artery thrombosis	
Cerebellar haematoma	
Cerebral artery embolism	
Cerebral artery occlusion	
Cerebral haematoma	
Embolic cerebral infarction	
Haemorrhagic cerebral infarction	
Haemorrhagic transformation stroke	
Intracranial haematoma	
Intraventricular haemorrhage	
Intraventricular haemorrhage neonatal	
Ischaemic cerebral infarction	
Meningorrhagia	
Putamen haemorrhage	
Ruptured cerebral aneurysm	
Thalamic infarction	
Thalamus haemorrhage	
Thrombotic cerebral infarction	
Thrombotic stroke	
Vertebral artery occlusion	
Vertebral artery thrombosis	
Carotid arteriosclerosis	
Carotid artery disease	
Carotid artery stenosis	
Cerebral arteriosclerosis	
Cerebral artery stenosis	
Cerebral microangiopathy	
Cerebrovascular insufficiency	
Spinal vascular disorder	
Vascular encephalopathy	
Vertebral artery stenosis	
Reversible ischaemic neurological deficit	
Cranial nerve paralysis	
Facial nerve disorder	
Facial palsy	
Facial spasm	
Hypoglossal nerve paresis	
Bulbar palsy	
Hyposmia	
Facial neuralgia	
Vocal cord paralysis	
Vocal cord paresis	
Progressive multiple sclerosis	
Relapsing-remitting multiple sclerosis	
Anoxic encephalopathy	
Hypertensive encephalopathy	
Hypoxic encephalopathy	
Leukoencephalopathy	
Postresuscitation encephalopathy	
Reversible posterior leukoencephalopathy syndrome	
Tension headache	
Hydrocephalus	
Brain compression	
Intracranial pressure increased	
Senile dementia	
Vascular dementia	
Anterograde amnesia	
Global amnesia	
Retrograde amnesia	
Bradyphrenia	
Judgement impaired	
Chorea	
Choreoathetosis	
Akinesia	
Ballismus	
Bradykinesia	
Clumsiness	
Extrapyramidal disorder	
Fine motor delay	
Hyperkinesia	
Posturing	
Tardive dyskinesia	
Pleurothotonus	
Diaphragmatic paralysis	
Diplegia	
Locked-in syndrome	
Monoparesis	
Paralysis flaccid	
Paraplegia	
Paresis	
Peripheral paralysis	
Postictal paralysis	
Pseudobulbar palsy	
Quadriparesis	
Quadriplegia	
Respiratory paralysis	
Spastic paraplegia	
Dopamine dysregulation syndrome	
Freezing phenomenon	
Masked facies	
On and off phenomenon	
Parkinsonism	
Head titubation	
Intention tremor	
Areflexia	
Extensor plantar response	
Hyperreflexia	
Hyporeflexia	
Poor sucking reflex	
Cerebellar syndrome	
Acalculia	
Agnosia	
Amimia	
Anosognosia	
Dyscalculia	
Dyslexia	
Dyspraxia	
Gerstmann's syndrome	
Hemisensory neglect	
Altered state of consciousness	
Apallic syndrome	
Sopor	
Central nervous system necrosis	
Leukoaraiosis	
Nerve degeneration	
Neurodegenerative disorder	
Psychomotor skills impaired	
Abulia	
Activation syndrome	
Agitated depression	
Apparent life threatening event	
Fontanelle bulging	
Meningism	
Myoclonus	
Neurological decompensation	
Tic	
Dysaesthesia	
Dysaesthesia pharynx	
Intercostal neuralgia	
Loss of proprioception	
Palmar-plantar erythrodysaesthesia syndrome	
Pharyngeal hypoaesthesia	
Sensory loss	
Dyslalia	
Mutism	
Repetitive speech	
Verbigeration	
Anticholinergic syndrome	
Atonic urinary bladder	
Autonomic neuropathy	
Cholinergic syndrome	
Motor neurone disease	
Upper motor neurone lesion	
Drop attacks	
Polyneuropathy	
Polyneuropathy idiopathic progressive	
Peripheral nerve lesion	
Sciatic nerve neuropathy	
Tarsal tunnel syndrome	
Axonal neuropathy	
Brachial plexopathy	
Ischaemic neuropathy	
Neuritis	
Neuropathic ulcer	
Peripheral sensorimotor neuropathy	
Peripheral sensory neuropathy	
Thoracic outlet syndrome	
Complex partial seizures	
Temporal lobe epilepsy	
Simple partial seizures	
Atonic seizures	
Clonic convulsion	
Convulsive threshold lowered	
Febrile convulsion	
Myoclonic epilepsy	
Partial seizures	
Status epilepticus	
Tonic clonic movements	
Tonic convulsion	
Abnormal sleep-related event	
Circadian rhythm sleep disorder	
Sleep phase rhythm disturbance	
Breathing-related sleep disorder	
Sudden onset of sleep	
Cervical cord compression	
Cervical myelopathy	
Radiculitis lumbosacral	
Cauda equina syndrome	
Myelopathy	
Nerve root compression	
Neurogenic bladder	
Radicular pain	
Radicular syndrome	
Spinal cord compression	
Spinal cord disorder	
Spinal cord infarction	
Brain injury	
Brain mass	
Cerebellar atrophy	
Cerebral calcification	
Cerebral ventricle dilatation	
Carotid artery atheroma	
Mental retardation severity unspecified	
Excitability	
Unresponsive to verbal stimuli	
Reflex sympathetic dystrophy	
Neuropathic pain	
Hoarseness	
Neuropathy	
Generalised tonic-clonic seizure	
Abortion	
Abortion missed	
Foetal distress syndrome	
Foetal hypokinesia	
Foetal growth retardation	
Breech presentation	
Premature separation of placenta	
Impetigo herpetiformis	
Large for dates baby	
Small for dates baby	
Circulatory failure neonatal	
Hypertension neonatal	
Neonatal hypotension	
Neonatal asphyxia	
Neonatal hypoxia	
Cyanosis neonatal	
Neonatal tachypnoea	
Neonatal respiratory distress syndrome	
Neonatal anuria	
Neonatal disorder	
Renal failure neonatal	
Renal impairment neonatal	
Umbilical cord abnormality	
Amniotic cavity disorder	
Meconium stain	
Oligohydramnios	
Chorioamnionitis	
Placenta praevia	
Placental disorder	
Adjustment disorder	
Anxiety disorder	
Neurosis	
Claustrophobia	
Fear of disease	
Fear of weight gain	
Phobia	
Social phobia	
Acute stress disorder	
Catatonia	
Distractibility	
Reading disorder	
Communication disorder	
Pressure of speech	
Dysthymic disorder	
Negative thoughts	
Psychomotor retardation	
Depersonalisation	
Dissociative fugue	
Delusion of grandeur	
Jealous delusion	
Persecutory delusion	
Derealisation	
Flashback	
Hallucination, olfactory	
Hallucination, tactile	
Hallucinations, mixed	
Illusion	
Confabulation	
Flight of ideas	
Perseveration	
Thought blocking	
Eating disorder symptom	
Food aversion	
Compulsive shopping	
Impulsive behaviour	
Pathological gambling	
Poriomania	
Bipolar I disorder	
Hypomania	
Constricted affect	
Inappropriate affect	
Elevated mood	
Moaning	
Antisocial behaviour	
Disinhibition	
Hostility	
Impatience	
Indifference	
Negativism	
Soliloquy	
Personality disorder	
Staring	
Choking sensation	
Impaired self-care	
Trance	
Mental disorder due to a general medical condition	
Alcohol abuse	
Alcohol problem	
Polysubstance dependence	
Tobacco abuse	
Acute psychosis	
Psychotic behaviour	
Female orgasmic disorder	
Orgasm abnormal	
Premature ejaculation	
Libido increased	
Sexual dysfunction	
Hypnagogic hallucination	
Sleep disorder due to a general medical condition	
Sleep disorder due to general medical condition, insomnia type	
Factitious disorder	
Conversion disorder	
Hypochondriasis	
Psychosomatic disease	
Somatisation disorder	
Somatoform disorder	
Self injurious behaviour	
Intentional misuse	
Bladder dilatation	
Bladder obstruction	
Bladder stenosis	
Bladder trabeculation	
Cystocele	
Urinary bladder atrophy	
Vesical fistula	
Cystitis noninfective	
Vesicoureteric reflux	
Urinary tract obstruction	
Urogenital haemorrhage	
Urinary tract inflammation	
Focal segmental glomerulosclerosis	
Glomerulonephritis acute	
Glomerulonephritis chronic	
Glomerulonephritis membranoproliferative	
Glomerulonephritis membranous	
Glomerulonephritis proliferative	
Glomerulonephritis rapidly progressive	
Mesangioproliferative glomerulonephritis	
Nephrotic syndrome	Renal
